date,driving,walking,transit,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-11,107.63,125.49,100.92,Alberta,3.0,11.0,16.0,-5.0,4.0,1.0,14,1969.0,14.0,0,450.0
2020-03-12,103.63,116.47,92.41,Alberta,4.0,29.0,-6.0,-8.0,2.0,1.0,19,4109.0,19.0,5,940.0
2020-03-13,101.91,112.36,82.22,Alberta,-8.0,30.0,-28.0,-17.0,-3.0,5.0,23,4109.0,23.0,4,940.0
2020-03-14,81.57,102.27,59.99,Alberta,-19.0,12.0,-45.0,-26.0,-5.0,7.0,29,5247.0,29.0,6,1200.0
2020-03-15,64.27,77.32,47.6,Alberta,-18.0,9.0,-28.0,-25.0,-7.0,5.0,39,5247.0,39.0,10,1200.0
2020-03-16,74.04,93.08,54.31,Alberta,-11.0,31.0,-13.0,-39.0,-22.0,9.0,56,10238.0,56.0,17,2342.0
2020-03-17,71.05,85.72,51.37,Alberta,-21.0,17.0,-12.0,-45.0,-29.0,13.0,74,11487.0,74.0,18,2628.0
2020-03-18,66.47,77.0,41.43,Alberta,-31.0,11.0,-24.0,-52.0,-35.0,16.0,97,13686.0,97.0,23,3131.0
2020-03-19,65.6,77.02,35.64,Alberta,-35.0,3.0,-28.0,-56.0,-39.0,18.0,146,16507.0,145.0,49,3776.0
2020-03-20,71.75,86.1,36.3,Alberta,-38.0,4.0,-9.0,-53.0,-40.0,19.0,195,19782.0,194.0,49,4525.0
2020-03-21,58.36,70.61,28.33,Alberta,-46.0,-9.0,8.0,-47.0,-30.0,13.0,226,23060.0,225.0,31,5275.0
2020-03-22,47.04,63.02,25.65,Alberta,-49.0,-21.0,16.0,-51.0,-34.0,11.0,259,26999.0,258.0,33,6176.0
2020-03-23,57.42,72.01,29.05,Alberta,-43.0,-11.0,-22.0,-63.0,-46.0,19.0,301,29757.0,300.0,42,6807.0
2020-03-24,54.45,70.35,25.87,Alberta,-48.0,-16.0,-31.0,-66.0,-49.0,22.0,358,32776.0,356.0,57,7498.0
2020-03-25,56.6,70.8,26.18,Alberta,-47.0,-11.0,-25.0,-66.0,-50.0,22.0,419,35508.0,417.0,61,8123.0
2020-03-26,57.64,72.1,24.57,Alberta,-47.0,-12.0,-24.0,-68.0,-51.0,22.0,486,36600.0,457.0,67,8373.0
2020-03-27,64.55,81.62,25.88,Alberta,-48.0,-11.0,-16.0,-65.0,-50.0,23.0,542,38215.0,513.0,56,8742.0
2020-03-28,50.84,62.64,20.63,Alberta,-55.0,-21.0,-40.0,-63.0,-40.0,16.0,542,38215.0,487.0,0,8742.0
2020-03-29,43.41,57.72,20.53,Alberta,-55.0,-29.0,-23.0,-63.0,-41.0,13.0,621,44097.0,546.0,79,10088.0
2020-03-30,52.98,62.5,24.64,Alberta,-50.0,-22.0,-49.0,-71.0,-52.0,21.0,690,46057.0,588.0,69,10536.0
2020-03-31,51.44,62.79,22.62,Alberta,-51.0,-21.0,-47.0,-70.0,-53.0,23.0,754,48692.0,625.0,64,11139.0
2020-04-01,54.5,63.94,24.1,Alberta,-47.0,-13.0,-49.0,-71.0,-53.0,23.0,754,53141.0,603.0,0,12157.0
2020-04-02,54.72,62.21,22.9,Alberta,-49.0,-15.0,-48.0,-72.0,-53.0,24.0,968,57096.0,781.0,214,13062.0
2020-04-03,61.52,66.85,22.16,Alberta,-51.0,-16.0,-49.0,-71.0,-52.0,25.0,1075,60508.0,1057.0,107,13842.0
2020-04-04,52.45,66.91,20.8,Alberta,-53.0,-20.0,-31.0,-63.0,-42.0,16.0,1075,62520.0,1057.0,0,14302.0
2020-04-05,40.68,50.54,18.36,Alberta,-57.0,-33.0,-51.0,-69.0,-43.0,14.0,1250,63315.0,987.0,175,14484.0
2020-04-06,54.79,71.25,23.77,Alberta,-47.0,-17.0,-26.0,-69.0,-52.0,21.0,1348,64183.0,963.0,98,14683.0
2020-04-07,56.11,71.99,22.65,Alberta,-48.0,-15.0,-36.0,-70.0,-53.0,23.0,1373,65265.0,1347.0,25,14930.0
2020-04-08,60.42,77.49,23.94,Alberta,-45.0,-8.0,-23.0,-69.0,-53.0,22.0,1423,66783.0,1394.0,50,15278.0
2020-04-09,70.82,89.2,23.79,Alberta,-36.0,9.0,-10.0,-67.0,-54.0,21.0,1451,68116.0,1419.0,28,15582.0
2020-04-10,55.69,70.15,19.24,Alberta,-57.0,-17.0,-37.0,-77.0,-78.0,32.0,1500,70080.0,1461.0,49,16032.0
2020-04-11,53.84,66.69,18.84,Alberta,-52.0,-13.0,-44.0,-64.0,-45.0,16.0,1569,72779.0,1529.0,69,16649.0
2020-04-12,40.21,49.96,16.95,Alberta,-63.0,-40.0,-43.0,-67.0,-46.0,14.0,1651,74709.0,1607.0,82,17091.0
2020-04-13,55.87,68.58,21.8,Alberta,-48.0,-19.0,-19.0,-71.0,-59.0,23.0,1732,77007.0,1686.0,81,17616.0
2020-04-14,61.12,72.33,22.92,Alberta,-46.0,-15.0,-30.0,-69.0,-53.0,23.0,1870,79695.0,1822.0,138,18231.0
2020-04-15,64.22,75.93,22.59,Alberta,-45.0,-10.0,-37.0,-70.0,-53.0,23.0,1996,79695.0,1948.0,126,18231.0
2020-04-16,68.94,90.26,23.08,Alberta,-41.0,-4.0,-5.0,-67.0,-53.0,22.0,2158,85502.0,2108.0,162,19560.0
2020-04-17,75.07,90.44,22.43,Alberta,-45.0,-11.0,-28.0,-67.0,-52.0,24.0,2397,89144.0,2347.0,239,20393.0
2020-04-18,66.11,85.28,21.99,Alberta,-49.0,-16.0,-21.0,-56.0,-38.0,15.0,2562,92962.0,1349.0,165,21266.0
2020-04-19,56.76,80.98,22.19,Alberta,-47.0,-23.0,21.0,-54.0,-37.0,11.0,2562,97180.0,1349.0,0,22231.0
2020-04-20,70.98,101.69,26.59,Alberta,-40.0,-12.0,17.0,-63.0,-51.0,19.0,2908,100898.0,1619.0,346,23082.0
2020-04-21,72.86,102.02,26.84,Alberta,-41.0,-11.0,18.0,-64.0,-51.0,20.0,3095,104370.0,1761.0,187,23876.0
2020-04-22,73.84,96.46,25.06,Alberta,-42.0,-9.0,-10.0,-66.0,-51.0,21.0,3401,108521.0,2025.0,306,24826.0
2020-04-23,77.02,96.78,25.45,Alberta,-42.0,-8.0,-13.0,-66.0,-51.0,21.0,3720,112562.0,2296.0,319,25750.0
2020-04-24,87.03,110.04,28.18,Alberta,-44.0,-9.0,4.0,-63.0,-50.0,21.0,4017,116859.0,2548.0,297,26733.0
2020-04-25,75.02,97.01,24.48,Alberta,-45.0,-14.0,6.0,-52.0,-37.0,13.0,4233,121244.0,2689.0,216,27736.0
2020-04-26,61.85,82.01,24.5,Alberta,-45.0,-20.0,8.0,-56.0,-38.0,11.0,4480,125310.0,2858.0,247,28666.0
2020-04-27,76.64,93.49,27.58,Alberta,-41.0,-13.0,-11.0,-65.0,-50.0,19.0,4696,128860.0,2957.0,216,29479.0
2020-04-28,81.82,110.1,29.83,Alberta,-39.0,-8.0,23.0,-63.0,-51.0,12.0,4850,131772.0,2970.0,154,30145.0
2020-04-29,83.83,115.26,29.54,Alberta,-39.0,-5.0,19.0,-64.0,-51.0,20.0,5165,136511.0,3125.0,315,31229.0
2020-04-30,86.03,104.68,28.48,Alberta,-40.0,-6.0,-12.0,-65.0,-51.0,20.0,5355,141060.0,3105.0,190,32269.0
2020-05-01,99.03,128.2,30.57,Alberta,-39.0,-4.0,19.0,-58.0,-49.0,20.0,5573,145420.0,3122.0,218,33267.0
2020-05-02,88.04,122.03,29.92,Alberta,-40.0,-7.0,55.0,-44.0,-34.0,10.0,5670,148757.0,3042.0,97,34030.0
2020-05-03,67.72,88.22,26.79,Alberta,-44.0,-20.0,-1.0,-55.0,-34.0,10.0,5766,152123.0,2958.0,96,34800.0
2020-05-04,79.88,95.81,31.14,Alberta,-40.0,-11.0,-27.0,-66.0,-50.0,19.0,5836,152123.0,2790.0,70,34800.0
2020-05-05,91.54,122.48,32.18,Alberta,-34.0,0.0,49.0,-60.0,-49.0,18.0,5893,157137.0,2568.0,57,35947.0
2020-05-06,94.05,120.2,32.07,Alberta,-36.0,-2.0,20.0,-62.0,-49.0,19.0,5963,160185.0,2299.0,70,36645.0
2020-05-07,91.89,118.19,31.12,Alberta,-37.0,-2.0,6.0,-63.0,-49.0,19.0,6017,163510.0,2094.0,54,37405.0
2020-05-08,102.7,124.52,33.13,Alberta,-40.0,-2.0,-1.0,-61.0,-47.0,20.0,6098,166327.0,1963.0,81,38050.0
2020-05-09,95.52,125.91,30.13,Alberta,-38.0,4.0,24.0,-50.0,-30.0,10.0,6157,169415.0,1837.0,59,38756.0
2020-05-10,71.73,93.73,25.76,Alberta,-37.0,-6.0,-9.0,-55.0,-29.0,8.0,6253,173023.0,1747.0,96,39581.0
2020-05-13,102.06,139.0,33.56,Alberta,-31.0,3.0,57.0,-58.0,-46.0,17.0,6407,181624.0,1211.0,62,41549.0
2020-05-14,106.71,134.33,35.27,Alberta,-30.0,3.0,22.0,-60.0,-47.0,17.0,6457,185545.0,1131.0,50,42446.0
2020-05-15,122.93,154.94,36.94,Alberta,-31.0,2.0,54.0,-54.0,-47.0,16.0,6515,189225.0,1073.0,58,43288.0
2020-05-16,108.51,149.26,37.64,Alberta,-33.0,-1.0,109.0,-40.0,-29.0,7.0,6587,193098.0,1084.0,72,44174.0
2020-05-17,89.96,127.73,33.9,Alberta,-30.0,-9.0,107.0,-44.0,-27.0,5.0,6644,196309.0,1064.0,57,44908.0
2020-05-18,90.3,123.39,35.6,Alberta,-34.0,-5.0,88.0,-65.0,-76.0,21.0,6683,199237.0,1036.0,39,45578.0
2020-05-19,102.72,137.95,38.35,Alberta,-27.0,0.0,31.0,-58.0,-46.0,17.0,6716,201283.0,1004.0,33,46046.0
2020-05-20,105.52,138.67,38.17,Alberta,-24.0,7.0,5.0,-60.0,-45.0,17.0,6716,203397.0,1004.0,0,46530.0
2020-05-21,97.81,118.85,32.22,Alberta,-32.0,-3.0,-43.0,-66.0,-47.0,21.0,6768,205778.0,926.0,52,47075.0
2020-05-22,112.13,140.75,35.69,Alberta,-33.0,-1.0,-24.0,-62.0,-43.0,19.0,6800,209412.0,865.0,32,47906.0
2020-05-23,109.86,148.27,36.15,Alberta,-29.0,3.0,54.0,-43.0,-20.0,9.0,6818,212724.0,814.0,18,48664.0
2020-05-24,99.31,138.32,38.86,Alberta,-24.0,-5.0,148.0,-39.0,-22.0,4.0,6860,216168.0,801.0,42,49451.0
2020-05-25,109.01,150.48,43.33,Alberta,-20.0,0.0,48.0,-55.0,-44.0,14.0,6879,218740.0,762.0,19,50040.0
2020-05-26,109.36,143.46,42.47,Alberta,-23.0,-1.0,28.0,-58.0,-42.0,16.0,6901,221173.0,714.0,22,50596.0
2020-05-27,116.54,151.71,42.93,Alberta,-19.0,9.0,49.0,-56.0,-42.0,15.0,6926,223771.0,679.0,25,51191.0
2020-05-28,120.8,159.96,42.8,Alberta,-19.0,9.0,63.0,-55.0,-41.0,15.0,6955,226364.0,652.0,29,51784.0
2020-05-29,136.11,174.6,45.67,Alberta,-23.0,7.0,71.0,-52.0,-40.0,14.0,6979,229675.0,616.0,24,52541.0
2020-05-30,125.7,171.26,43.01,Alberta,-23.0,6.0,138.0,-36.0,-12.0,4.0,6992,232702.0,604.0,13,53234.0
2020-05-31,93.46,112.54,35.95,Alberta,-28.0,-11.0,21.0,-47.0,-16.0,6.0,7010,235415.0,584.0,18,53854.0
2020-06-01,116.45,159.35,50.37,Alberta,-15.0,6.0,52.0,-53.0,-40.0,13.0,7044,237747.0,400.0,34,54388.0
2020-06-02,119.78,165.42,48.26,Alberta,-17.0,7.0,90.0,-53.0,-40.0,14.0,7057,240477.0,377.0,13,55012.0
2020-06-03,121.66,165.23,49.05,Alberta,-17.0,8.0,59.0,-53.0,-40.0,14.0,7076,244780.0,344.0,19,55997.0
2020-06-04,122.91,158.93,46.46,Alberta,-18.0,8.0,52.0,-54.0,-40.0,14.0,7091,248423.0,334.0,15,56830.0
2020-06-05,142.85,192.06,51.07,Alberta,-21.0,5.0,94.0,-49.0,-38.0,13.0,7098,254050.0,328.0,7,58118.0
2020-06-06,118.8,159.74,41.82,Alberta,-25.0,-1.0,52.0,-42.0,-15.0,7.0,7138,259031.0,336.0,40,59257.0
2020-06-07,89.54,109.26,37.13,Alberta,-30.0,-12.0,-25.0,-52.0,-19.0,8.0,7138,259031.0,336.0,0,59257.0
2020-06-08,116.11,151.67,47.87,Alberta,-16.0,3.0,42.0,-53.0,-39.0,13.0,7202,268663.0,355.0,64,61460.0
2020-06-09,123.39,169.02,51.84,Alberta,-15.0,3.0,90.0,-52.0,-39.0,13.0,7229,272967.0,356.0,27,62445.0
2020-06-10,132.17,180.56,52.47,Alberta,-10.0,12.0,100.0,-51.0,-38.0,12.0,7276,278556.0,371.0,47,63724.0
2020-06-11,135.4,180.19,52.16,Alberta,-12.0,11.0,91.0,-51.0,-39.0,12.0,7316,284788.0,379.0,40,65149.0
2020-06-12,151.3,196.24,54.88,Alberta,-18.0,5.0,98.0,-49.0,-37.0,11.0,7346,291329.0,386.0,30,66646.0
2020-06-13,131.33,167.08,47.37,Alberta,-20.0,1.0,95.0,-35.0,-10.0,5.0,7383,297108.0,403.0,37,67968.0
2020-06-14,109.03,132.22,45.06,Alberta,-18.0,-5.0,81.0,-37.0,-12.0,3.0,7433,303912.0,422.0,50,69524.0
2020-06-15,128.58,169.71,54.67,Alberta,-11.0,5.0,60.0,-49.0,-38.0,12.0,7453,306887.0,440.0,20,70205.0
2020-06-16,132.41,177.14,55.43,Alberta,-11.0,4.0,78.0,-49.0,-37.0,12.0,7482,312351.0,449.0,29,71455.0
2020-06-17,128.44,162.57,49.6,Alberta,-14.0,6.0,7.0,-54.0,-38.0,14.0,7530,318276.0,486.0,48,72810.0
2020-06-18,139.98,182.87,54.65,Alberta,-10.0,13.0,69.0,-50.0,-38.0,12.0,7579,324964.0,489.0,49,74340.0
2020-06-19,164.0,211.54,57.77,Alberta,-13.0,11.0,111.0,-46.0,-36.0,8.0,7625,332766.0,512.0,46,76125.0
2020-06-20,148.31,197.99,52.63,Alberta,-16.0,8.0,173.0,-32.0,-8.0,2.0,7673,339165.0,525.0,48,77589.0
2020-06-21,113.25,130.5,43.69,Alberta,-14.0,-1.0,117.0,-36.0,-8.0,1.0,7704,345952.0,534.0,31,79141.0
2020-06-22,141.46,188.47,60.12,Alberta,-10.0,6.0,109.0,-47.0,-39.0,10.0,7736,351622.0,542.0,32,80438.0
2020-06-23,142.82,187.53,56.94,Alberta,-11.0,5.0,103.0,-48.0,-39.0,11.0,7781,357139.0,532.0,45,81701.0
2020-06-24,141.91,183.48,56.63,Alberta,-11.0,10.0,54.0,-51.0,-37.0,12.0,7825,362699.0,538.0,44,82972.0
2020-06-25,154.37,199.96,59.12,Alberta,-9.0,14.0,111.0,-48.0,-37.0,10.0,7851,367935.0,506.0,26,84170.0
2020-06-26,166.86,203.85,59.63,Alberta,-16.0,6.0,90.0,-46.0,-36.0,10.0,7888,373437.0,509.0,37,85429.0
2020-06-27,140.93,177.01,50.98,Alberta,-20.0,0.0,86.0,-36.0,-11.0,4.0,7957,378629.0,520.0,69,86617.0
2020-06-28,114.37,134.38,45.6,Alberta,-20.0,-7.0,40.0,-40.0,-10.0,4.0,7996,384020.0,520.0,39,87850.0
2020-06-29,139.53,176.24,60.47,Alberta,-8.0,6.0,72.0,-49.0,-39.0,10.0,8067,389687.0,559.0,71,89146.0
2020-06-30,143.06,175.84,52.81,Alberta,-7.0,8.0,16.0,-55.0,-40.0,12.0,8108,395713.0,547.0,41,90525.0
2020-07-01,129.65,173.28,51.58,Alberta,-14.0,12.0,121.0,-60.0,-67.0,18.0,8108,395713.0,547.0,0,90525.0
2020-07-02,155.01,189.16,60.44,Alberta,-9.0,14.0,86.0,-50.0,-42.0,11.0,8202,407363.0,542.0,94,93190.0
2020-07-03,177.75,220.56,60.15,Alberta,-13.0,10.0,176.0,-45.0,-42.0,9.0,8259,412841.0,572.0,57,94443.0
2020-07-04,149.07,198.07,51.65,Alberta,-20.0,-1.0,161.0,-36.0,-11.0,2.0,8259,412841.0,572.0,0,94443.0
2020-07-05,135.04,156.3,48.16,Alberta,-14.0,-3.0,161.0,-32.0,-11.0,0.0,8259,412841.0,572.0,0,94443.0
2020-07-06,147.08,190.17,60.46,Alberta,-7.0,8.0,120.0,-46.0,-39.0,9.0,8389,426313.0,607.0,130,97525.0
2020-07-07,142.18,181.51,57.28,Alberta,-11.0,6.0,54.0,-51.0,-39.0,12.0,8436,431102.0,620.0,47,98621.0
2020-07-08,142.7,179.2,56.81,Alberta,-9.0,12.0,39.0,-52.0,-39.0,12.0,8482,435847.0,608.0,46,99706.0
2020-07-09,157.62,201.73,59.71,Alberta,-7.0,15.0,98.0,-48.0,-38.0,10.0,8519,441197.0,584.0,37,100930.0
2020-07-10,180.78,227.42,61.87,Alberta,-13.0,11.0,142.0,-44.0,-36.0,8.0,8596,447181.0,592.0,77,102299.0
2020-07-11,168.48,219.64,57.99,Alberta,-16.0,4.0,224.0,-31.0,-8.0,0.0,8596,447181.0,592.0,0,102299.0
2020-07-12,138.03,158.31,50.5,Alberta,-15.0,-3.0,123.0,-34.0,-10.0,1.0,8596,447181.0,592.0,0,102299.0
2020-07-13,148.69,182.1,60.49,Alberta,-8.0,5.0,75.0,-48.0,-39.0,9.0,8826,466472.0,676.0,230,106712.0
