date,driving,walking,transit,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-11,105.05,120.01,80.63,British Columbia,3.0,8.0,53.0,-3.0,0.0,1.0,39,4373.0,38.0,0,862.0
2020-03-12,101.05,113.48,75.37,British Columbia,2.0,18.0,37.0,-8.0,0.0,2.0,46,5195.0,45.0,7,1024.0
2020-03-13,104.63,117.47,77.4,British Columbia,0.0,27.0,10.0,-14.0,-2.0,2.0,53,5195.0,52.0,7,1024.0
2020-03-14,93.3,116.1,71.41,British Columbia,-7.0,21.0,9.0,-17.0,-4.0,4.0,64,7033.0,63.0,11,1387.0
2020-03-15,77.14,90.89,59.03,British Columbia,-6.0,15.0,58.0,-15.0,-8.0,3.0,73,7033.0,72.0,9,1387.0
2020-03-16,81.18,89.7,54.51,British Columbia,-6.0,34.0,55.0,-27.0,-24.0,8.0,73,9926.0,69.0,0,1957.0
2020-03-17,73.83,80.62,43.86,British Columbia,-16.0,27.0,80.0,-34.0,-31.0,12.0,103,11612.0,96.0,30,2290.0
2020-03-18,70.11,74.01,37.61,British Columbia,-27.0,17.0,87.0,-39.0,-39.0,14.0,186,13388.0,179.0,83,2640.0
2020-03-19,67.24,69.07,32.53,British Columbia,-34.0,6.0,81.0,-45.0,-43.0,16.0,271,16382.0,263.0,85,3230.0
2020-03-20,70.26,70.23,31.67,British Columbia,-38.0,1.0,77.0,-45.0,-44.0,16.0,271,18792.0,262.0,0,3706.0
2020-03-21,59.75,62.33,27.72,British Columbia,-48.0,-9.0,50.0,-46.0,-37.0,12.0,424,20417.0,414.0,153,4026.0
2020-03-22,43.11,42.94,21.11,British Columbia,-53.0,-21.0,8.0,-53.0,-41.0,12.0,424,22135.0,414.0,0,4365.0
2020-03-23,50.69,46.7,21.78,British Columbia,-48.0,-16.0,-4.0,-58.0,-52.0,20.0,472,23460.0,459.0,48,4626.0
2020-03-24,49.7,48.45,19.9,British Columbia,-50.0,-17.0,16.0,-61.0,-54.0,22.0,617,26305.0,604.0,145,5187.0
2020-03-25,52.81,50.78,20.32,British Columbia,-49.0,-16.0,40.0,-58.0,-56.0,21.0,659,28344.0,645.0,42,5589.0
2020-03-26,48.75,43.54,19.0,British Columbia,-54.0,-22.0,-18.0,-64.0,-57.0,23.0,725,30238.0,525.0,66,5963.0
2020-03-27,53.7,45.53,18.82,British Columbia,-53.0,-22.0,-21.0,-64.0,-56.0,23.0,725,31536.0,525.0,0,6218.0
2020-03-28,45.15,37.75,17.94,British Columbia,-60.0,-28.0,-37.0,-65.0,-48.0,17.0,884,31536.0,472.0,159,6218.0
2020-03-29,43.14,44.13,17.85,British Columbia,-54.0,-28.0,27.0,-59.0,-47.0,13.0,884,33476.0,471.0,0,6601.0
2020-03-30,48.56,42.82,19.5,British Columbia,-51.0,-25.0,-11.0,-64.0,-56.0,21.0,960,34969.0,472.0,76,6895.0
2020-03-31,52.31,48.6,20.14,British Columbia,-48.0,-20.0,28.0,-62.0,-56.0,22.0,970,36024.0,444.0,10,7103.0
2020-04-01,52.78,47.76,19.27,British Columbia,-50.0,-22.0,23.0,-63.0,-57.0,22.0,1066,36364.0,435.0,96,7170.0
2020-04-02,51.1,46.7,18.6,British Columbia,-51.0,-22.0,14.0,-65.0,-57.0,23.0,1121,36966.0,449.0,55,7289.0
