date,driving,transit,walking,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-11,103.94,89.78,110.67,Canada,3.0,7.0,12.0,-3.0,2.0,1.0,103,11023.0,101.0,26,293.0
2020-03-12,100.22,83.35,106.32,Canada,7.0,27.0,11.0,-6.0,2.0,1.0,141,15185.0,139.0,38,404.0
2020-03-13,101.24,76.4,104.32,Canada,-5.0,35.0,-16.0,-17.0,-6.0,5.0,179,15185.0,177.0,38,404.0
2020-03-14,87.16,63.75,103.0,Canada,-11.0,19.0,-8.0,-19.0,-1.0,5.0,199,22409.0,197.0,20,596.0
2020-03-15,68.17,51.19,73.82,Canada,-12.0,11.0,28.0,-22.0,-5.0,4.0,253,24977.0,251.0,54,664.0
2020-03-16,74.1,50.0,75.7,Canada,-12.0,23.0,15.0,-37.0,-27.0,10.0,341,37730.0,336.0,88,1004.0
2020-03-17,67.21,40.26,65.68,Canada,-27.0,13.0,7.0,-45.0,-35.0,14.0,440,44176.0,432.0,99,1175.0
2020-03-18,63.91,35.59,62.44,Canada,-33.0,7.0,14.0,-48.0,-40.0,16.0,597,53546.0,588.0,157,1425.0
2020-03-19,62.16,31.53,60.16,Canada,-36.0,4.0,18.0,-52.0,-43.0,17.0,873,65851.0,861.0,276,1752.0
2020-03-20,63.93,30.3,59.11,Canada,-44.0,-5.0,-8.0,-54.0,-45.0,20.0,1004,76814.0,991.0,131,2044.0
2020-03-21,53.45,26.48,53.11,Canada,-49.0,-12.0,11.0,-49.0,-32.0,13.0,1371,88883.0,1353.0,367,2365.0
2020-03-22,41.73,22.26,43.54,Canada,-51.0,-21.0,4.0,-54.0,-35.0,11.0,1471,98824.0,1451.0,100,2629.0
2020-03-23,49.42,23.58,45.64,Canada,-45.0,-13.0,-27.0,-63.0,-51.0,20.0,2091,107147.0,2067.0,620,2850.0
2020-03-24,48.66,21.68,48.44,Canada,-49.0,-15.0,-10.0,-64.0,-55.0,22.0,2792,125062.0,2765.0,701,3327.0
2020-03-25,47.57,20.81,49.21,Canada,-53.0,-21.0,1.0,-65.0,-59.0,23.0,3409,147789.0,3374.0,617,3932.0
2020-03-26,46.94,19.64,46.46,Canada,-54.0,-21.0,-18.0,-68.0,-59.0,25.0,4043,161603.0,3774.0,634,4299.0
2020-03-27,52.63,20.16,53.57,Canada,-55.0,-21.0,-10.0,-66.0,-59.0,26.0,4689,170644.0,4380.0,646,4540.0
2020-03-28,43.08,18.09,43.07,Canada,-59.0,-27.0,-30.0,-64.0,-44.0,17.0,5425,187448.0,4864.0,736,4987.0
2020-03-29,36.69,17.25,38.38,Canada,-59.0,-35.0,-16.0,-66.0,-44.0,14.0,6258,210435.0,5675.0,833,5598.0
2020-03-30,45.01,19.58,42.36,Canada,-54.0,-27.0,-32.0,-70.0,-60.0,23.0,7437,225705.0,6280.0,1179,6005.0
2020-03-31,47.15,20.05,47.84,Canada,-51.0,-19.0,-13.0,-68.0,-60.0,23.0,8548,241138.0,7198.0,1111,6415.0
2020-04-01,48.1,19.54,49.0,Canada,-52.0,-21.0,-10.0,-68.0,-61.0,24.0,9613,256933.0,7951.0,1065,6835.0
2020-04-02,47.17,18.77,47.09,Canada,-53.0,-23.0,-16.0,-70.0,-61.0,25.0,11283,273666.0,9162.0,1670,7280.0
2020-04-03,51.71,18.88,48.68,Canada,-55.0,-23.0,-33.0,-69.0,-60.0,27.0,12537,295065.0,12350.0,1254,7850.0
2020-04-04,44.5,17.33,48.35,Canada,-57.0,-25.0,-17.0,-63.0,-45.0,17.0,13904,311971.0,13673.0,1367,8299.0
2020-04-05,36.1,16.32,39.89,Canada,-63.0,-45.0,-13.0,-67.0,-46.0,14.0,15512,324791.0,12897.0,1608,8641.0
2020-04-06,47.06,18.84,51.48,Canada,-51.0,-21.0,2.0,-68.0,-60.0,23.0,16667,336806.0,12728.0,1155,8960.0
2020-04-07,48.1,17.9,50.34,Canada,-52.0,-18.0,-1.0,-68.0,-61.0,24.0,17897,348105.0,17517.0,1230,9261.0
2020-04-08,50.81,18.1,53.06,Canada,-51.0,-17.0,-3.0,-67.0,-61.0,24.0,19289,361969.0,18854.0,1392,9630.0
2020-04-09,56.31,17.74,52.77,Canada,-44.0,-3.0,-15.0,-68.0,-62.0,24.0,20765,375302.0,20256.0,1476,9984.0
2020-04-10,45.48,16.45,45.36,Canada,-70.0,-43.0,-24.0,-77.0,-81.0,33.0,22148,391375.0,21579.0,1383,10412.0
2020-04-11,47.79,16.78,48.43,Canada,-54.0,-15.0,-22.0,-63.0,-47.0,17.0,23318,404651.0,22665.0,1170,10765.0
