date,driving,walking,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-12,112.56,112.64,New Brunswick,11.0,20.0,16.0,1.0,0.0,0.0,1,44.0,1.0,1,57.0
2020-03-13,109.85,105.67,New Brunswick,-8.0,28.0,-31.0,-12.0,-5.0,6.0,1,44.0,1.0,0,57.0
2020-03-14,109.11,115.64,New Brunswick,-14.0,12.0,-21.0,-5.0,-3.0,4.0,2,82.0,2.0,1,106.0
2020-03-15,89.43,83.2,New Brunswick,2.0,18.0,92.0,0.0,1.0,1.0,2,82.0,2.0,0,106.0
2020-03-16,95.02,99.39,New Brunswick,-6.0,17.0,-2.0,-18.0,-21.0,8.0,6,143.0,6.0,4,184.0
2020-03-17,87.19,81.22,New Brunswick,-27.0,6.0,-14.0,-26.0,-34.0,12.0,7,295.0,7.0,1,380.0
2020-03-18,86.53,93.99,New Brunswick,-32.0,-1.0,13.0,-30.0,-40.0,14.0,8,408.0,8.0,1,525.0
2020-03-19,78.86,77.94,New Brunswick,-31.0,5.0,13.0,-34.0,-43.0,16.0,11,527.0,11.0,3,678.0
2020-03-20,75.04,67.62,New Brunswick,-48.0,-14.0,-36.0,-44.0,-48.0,21.0,11,640.0,11.0,0,824.0
2020-03-21,73.89,74.39,New Brunswick,-55.0,-27.0,0.0,-38.0,-36.0,13.0,17,865.0,17.0,6,1114.0
2020-03-22,61.53,53.01,New Brunswick,-47.0,-22.0,48.0,-39.0,-31.0,7.0,17,924.0,17.0,0,1189.0
2020-03-23,65.6,69.81,New Brunswick,-47.0,-26.0,-4.0,-52.0,-51.0,18.0,17,1139.0,17.0,0,1466.0
2020-03-24,56.13,55.87,New Brunswick,-54.0,-29.0,-35.0,-54.0,-55.0,21.0,18,1261.0,18.0,1,1623.0
2020-03-25,66.24,74.52,New Brunswick,-48.0,-21.0,10.0,-50.0,-54.0,19.0,26,1680.0,26.0,8,2163.0
2020-03-26,63.54,71.24,New Brunswick,-49.0,-20.0,-12.0,-54.0,-55.0,21.0,33,1849.0,33.0,7,2380.0
2020-03-27,64.37,62.91,New Brunswick,-52.0,-22.0,-38.0,-60.0,-55.0,24.0,45,2179.0,44.0,12,2805.0
2020-03-28,71.37,94.26,New Brunswick,-54.0,-30.0,21.0,-41.0,-40.0,13.0,51,2512.0,49.0,6,3234.0
2020-03-29,59.74,64.69,New Brunswick,-42.0,-20.0,101.0,-47.0,-35.0,8.0,66,2847.0,64.0,15,3665.0
2020-03-30,56.78,61.61,New Brunswick,-49.0,-31.0,-24.0,-58.0,-55.0,20.0,68,3267.0,66.0,2,4206.0
2020-03-31,57.63,66.87,New Brunswick,-50.0,-27.0,-23.0,-60.0,-56.0,20.0,70,3630.0,61.0,2,4673.0
2020-04-01,57.07,63.11,New Brunswick,-52.0,-29.0,-42.0,-61.0,-57.0,22.0,81,4121.0,67.0,11,5305.0
2020-04-02,56.98,58.27,New Brunswick,-51.0,-28.0,-43.0,-61.0,-57.0,23.0,91,4625.0,69.0,10,5954.0
2020-04-03,65.63,67.76,New Brunswick,-50.0,-23.0,-42.0,-60.0,-56.0,25.0,95,5036.0,95.0,4,6483.0
2020-04-04,61.25,61.07,New Brunswick,-54.0,-32.0,-27.0,-55.0,-42.0,15.0,98,5297.0,98.0,3,6819.0
2020-04-05,56.62,66.8,New Brunswick,-43.0,-23.0,78.0,-53.0,-37.0,8.0,101,5421.0,73.0,3,6978.0
2020-04-06,60.65,81.83,New Brunswick,-44.0,-30.0,-3.0,-58.0,-56.0,20.0,103,5678.0,73.0,2,7309.0
2020-04-07,64.76,71.24,New Brunswick,-46.0,-24.0,-12.0,-57.0,-57.0,20.0,105,6102.0,105.0,2,7855.0
2020-04-08,66.96,82.1,New Brunswick,-42.0,-16.0,-7.0,-54.0,-57.0,20.0,108,6477.0,108.0,3,8338.0
2020-04-09,71.22,85.72,New Brunswick,-30.0,4.0,-16.0,-54.0,-57.0,20.0,111,6949.0,111.0,3,8945.0
2020-04-10,45.66,52.73,New Brunswick,-85.0,-79.0,-62.0,-81.0,-83.0,35.0,112,7299.0,112.0,1,9396.0
2020-04-11,63.9,71.31,New Brunswick,-48.0,-15.0,-40.0,-57.0,-41.0,15.0,112,7500.0,112.0,0,9655.0
2020-04-12,48.16,67.28,New Brunswick,-68.0,-64.0,70.0,-54.0,-45.0,10.0,114,7760.0,114.0,2,9989.0
2020-04-13,54.85,50.2,New Brunswick,-49.0,-36.0,-39.0,-66.0,-64.0,23.0,116,8004.0,116.0,2,10303.0
2020-04-14,70.06,99.52,New Brunswick,-40.0,-21.0,15.0,-52.0,-56.0,20.0,116,8229.0,116.0,0,10593.0
2020-04-15,73.65,84.7,New Brunswick,-38.0,-19.0,-1.0,-55.0,-56.0,20.0,117,8674.0,117.0,1,11166.0
2020-04-16,74.43,84.84,New Brunswick,-39.0,-21.0,-10.0,-54.0,-56.0,22.0,117,8945.0,117.0,0,11515.0
2020-04-17,81.06,84.77,New Brunswick,-43.0,-24.0,-24.0,-59.0,-55.0,24.0,117,9684.0,117.0,0,12466.0
2020-04-19,75.04,72.75,New Brunswick,-34.0,-19.0,107.0,-43.0,-33.0,7.0,118,10290.0,26.0,0,13246.0
2020-04-20,74.43,92.55,New Brunswick,-34.0,-25.0,1.0,-53.0,-53.0,19.0,118,10492.0,20.0,0,13506.0
2020-04-21,76.09,83.2,New Brunswick,-34.0,-19.0,18.0,-51.0,-54.0,19.0,118,10799.0,16.0,0,13901.0
2020-04-22,78.83,78.28,New Brunswick,-42.0,-25.0,-29.0,-56.0,-55.0,21.0,118,11121.0,14.0,0,14316.0
2020-04-23,81.74,79.03,New Brunswick,-39.0,-20.0,-14.0,-52.0,-54.0,21.0,118,11616.0,14.0,0,14953.0
2020-04-24,90.47,100.96,New Brunswick,-40.0,-21.0,4.0,-51.0,-53.0,21.0,118,11908.0,11.0,0,15329.0
2020-04-26,77.75,85.18,New Brunswick,-24.0,-11.0,169.0,-39.0,-27.0,4.0,118,12525.0,7.0,0,16123.0
2020-04-27,77.36,92.55,New Brunswick,-33.0,-25.0,-17.0,-56.0,-51.0,18.0,118,12648.0,6.0,0,16282.0
2020-04-28,86.22,84.29,New Brunswick,-32.0,-16.0,-2.0,-50.0,-52.0,14.0,118,12907.0,4.0,0,16615.0
2020-04-29,99.08,100.07,New Brunswick,-29.0,-16.0,50.0,-47.0,-52.0,17.0,118,13121.0,4.0,0,16891.0
2020-04-30,97.47,109.84,New Brunswick,-28.0,-14.0,41.0,-45.0,-51.0,18.0,118,13598.0,4.0,0,17505.0
2020-05-01,102.95,101.98,New Brunswick,-36.0,-20.0,-15.0,-54.0,-51.0,20.0,118,13998.0,2.0,0,18019.0
2020-05-03,88.47,94.13,New Brunswick,-19.0,-9.0,223.0,-29.0,-25.0,3.0,118,14559.0,0.0,0,18742.0
2020-05-04,88.88,91.33,New Brunswick,-30.0,-22.0,-6.0,-53.0,-49.0,17.0,118,14559.0,0.0,0,18742.0
2020-05-05,90.66,84.15,New Brunswick,-33.0,-19.0,-12.0,-55.0,-50.0,18.0,119,14982.0,1.0,1,19286.0
2020-05-06,103.76,113.11,New Brunswick,-25.0,-10.0,76.0,-38.0,-48.0,15.0,120,15324.0,2.0,1,19726.0
2020-05-07,99.65,108.27,New Brunswick,-28.0,-12.0,31.0,-43.0,-49.0,17.0,120,15700.0,2.0,0,20210.0
2020-05-08,110.95,118.72,New Brunswick,-31.0,-11.0,18.0,-46.0,-47.0,18.0,120,16068.0,2.0,0,20684.0
