date,driving,walking,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-15,75.74,80.65,Newfoundland and Labrador,13.0,25.0,18.0,11.0,11.0,-1.0,1,62.0,1.0,1,119.0
2020-03-16,84.54,100.58,Newfoundland and Labrador,8.0,46.0,62.0,-9.0,-20.0,3.0,1,161.0,1.0,0,309.0
2020-03-17,82.44,95.67,Newfoundland and Labrador,-11.0,23.0,25.0,-15.0,-23.0,7.0,1,161.0,1.0,0,309.0
2020-03-18,72.53,79.98,Newfoundland and Labrador,-23.0,13.0,-6.0,-25.0,-33.0,11.0,3,161.0,3.0,2,309.0
2020-03-19,81.83,87.3,Newfoundland and Labrador,-19.0,14.0,36.0,-24.0,-37.0,10.0,3,267.0,3.0,0,512.0
2020-03-20,73.69,73.92,Newfoundland and Labrador,-33.0,-1.0,0.0,-32.0,-17.0,14.0,4,287.0,4.0,1,550.0
2020-03-21,61.59,61.02,Newfoundland and Labrador,-46.0,-17.0,-27.0,-37.0,-26.0,12.0,6,299.0,6.0,2,573.0
2020-03-22,48.69,58.71,Newfoundland and Labrador,-38.0,-17.0,18.0,-19.0,-18.0,5.0,9,299.0,9.0,3,573.0
2020-03-23,58.57,67.85,Newfoundland and Labrador,-39.0,-10.0,55.0,-39.0,-46.0,12.0,24,894.0,24.0,15,1714.0
2020-03-24,47.0,52.26,Newfoundland and Labrador,-51.0,-22.0,-14.0,-50.0,-54.0,17.0,35,1087.0,35.0,11,2084.0
2020-03-25,35.19,43.31,Newfoundland and Labrador,-66.0,-48.0,-38.0,-67.0,-62.0,21.0,67,1235.0,67.0,32,2368.0
2020-03-26,55.33,71.13,Newfoundland and Labrador,-51.0,-26.0,6.0,-56.0,-58.0,18.0,82,1447.0,82.0,15,2774.0
2020-03-27,45.59,53.71,Newfoundland and Labrador,-61.0,-38.0,-53.0,-70.0,-45.0,24.0,102,1684.0,102.0,20,3229.0
2020-03-28,49.4,56.11,Newfoundland and Labrador,-55.0,-26.0,-26.0,-49.0,-42.0,14.0,120,1907.0,116.0,18,3656.0
2020-03-29,37.39,46.97,Newfoundland and Labrador,-54.0,-38.0,-18.0,-60.0,-35.0,9.0,135,2107.0,131.0,15,4040.0
2020-03-30,40.7,47.64,Newfoundland and Labrador,-58.0,-33.0,-18.0,-63.0,-59.0,17.0,148,2332.0,140.0,13,4471.0
2020-03-31,45.21,59.77,Newfoundland and Labrador,-54.0,-33.0,-16.0,-58.0,-61.0,20.0,152,2500.0,144.0,4,4793.0
2020-04-01,56.3,64.87,Newfoundland and Labrador,-51.0,-30.0,-13.0,-62.0,-60.0,19.0,175,2762.0,164.0,23,5296.0
2020-04-02,52.65,59.58,Newfoundland and Labrador,-52.0,-29.0,-25.0,-67.0,-60.0,20.0,183,2904.0,172.0,8,5568.0
2020-04-03,57.88,70.07,Newfoundland and Labrador,-51.0,-24.0,-30.0,-61.0,-45.0,22.0,183,3136.0,182.0,0,6013.0
2020-04-04,54.24,65.16,Newfoundland and Labrador,-55.0,-27.0,-30.0,-62.0,-44.0,14.0,195,3345.0,194.0,12,6414.0
2020-04-05,50.02,53.51,Newfoundland and Labrador,-43.0,-25.0,23.0,-58.0,-33.0,8.0,217,3556.0,205.0,22,6818.0
2020-04-06,52.1,66.12,Newfoundland and Labrador,-47.0,-22.0,11.0,-60.0,-57.0,16.0,226,3776.0,192.0,9,7240.0
2020-04-07,52.78,61.31,Newfoundland and Labrador,-49.0,-24.0,-13.0,-60.0,-60.0,19.0,228,3958.0,226.0,2,7589.0
2020-04-08,59.03,72.67,Newfoundland and Labrador,-43.0,-17.0,5.0,-63.0,-59.0,18.0,232,4135.0,230.0,4,7928.0
2020-04-09,67.45,96.15,Newfoundland and Labrador,-32.0,0.0,4.0,-60.0,-60.0,17.0,236,4384.0,233.0,4,8406.0
2020-04-10,47.19,46.58,Newfoundland and Labrador,-81.0,-75.0,-45.0,-83.0,-74.0,30.0,239,4520.0,236.0,3,8667.0
2020-04-11,63.02,71.51,Newfoundland and Labrador,-45.0,-7.0,-28.0,-63.0,-43.0,14.0,241,4713.0,238.0,2,9037.0
2020-04-12,46.14,60.64,Newfoundland and Labrador,-71.0,-63.0,32.0,-56.0,-42.0,9.0,242,4812.0,239.0,1,9226.0
2020-04-13,61.72,85.37,Newfoundland and Labrador,-40.0,-20.0,83.0,-59.0,-59.0,15.0,244,4897.0,241.0,2,9389.0
2020-04-14,55.12,61.21,Newfoundland and Labrador,-49.0,-31.0,-36.0,-65.0,-60.0,20.0,244,5370.0,241.0,0,10296.0
2020-04-15,65.09,80.46,Newfoundland and Labrador,-39.0,-20.0,15.0,-56.0,-59.0,18.0,247,5157.0,244.0,3,9888.0
2020-04-16,64.86,76.71,Newfoundland and Labrador,-40.0,-23.0,-16.0,-62.0,-59.0,19.0,252,5305.0,249.0,5,10172.0
2020-04-17,71.96,89.89,Newfoundland and Labrador,-43.0,-24.0,2.0,-61.0,-44.0,21.0,256,5584.0,253.0,4,10707.0
2020-04-18,74.63,72.09,Newfoundland and Labrador,-45.0,-20.0,-7.0,-54.0,-40.0,13.0,257,5870.0,65.0,1,11255.0
2020-04-19,41.96,41.58,Newfoundland and Labrador,-59.0,-45.0,-55.0,-76.0,-36.0,11.0,257,6128.0,63.0,0,11750.0
2020-04-20,66.26,77.38,Newfoundland and Labrador,-38.0,-17.0,13.0,-59.0,-57.0,16.0,257,6233.0,63.0,0,11951.0
2020-04-21,62.71,67.18,Newfoundland and Labrador,-43.0,-26.0,-19.0,-60.0,-58.0,19.0,257,6383.0,60.0,0,12239.0
2020-04-22,82.6,99.52,Newfoundland and Labrador,-37.0,-19.0,39.0,-52.0,-57.0,17.0,256,6655.0,54.0,-1,12760.0
2020-04-23,78.77,79.4,Newfoundland and Labrador,-40.0,-23.0,-11.0,-59.0,-57.0,19.0,256,6862.0,48.0,0,13157.0
2020-04-24,86.13,86.24,Newfoundland and Labrador,-42.0,-22.0,4.0,-54.0,-42.0,20.0,256,7105.0,46.0,0,13623.0
2020-04-25,68.56,67.85,Newfoundland and Labrador,-47.0,-21.0,-17.0,-61.0,-40.0,13.0,257,7332.0,46.0,1,14058.0
2020-04-26,87.19,99.9,Newfoundland and Labrador,-19.0,-9.0,109.0,-47.0,-27.0,5.0,258,7440.0,36.0,1,14265.0
2020-04-28,79.45,77.29,Newfoundland and Labrador,-36.0,-20.0,-3.0,-57.0,-57.0,13.0,258,7905.0,33.0,0,15157.0
2020-04-29,82.62,89.61,Newfoundland and Labrador,-36.0,-20.0,10.0,-60.0,-56.0,17.0,258,8191.0,30.0,0,15705.0
2020-04-30,88.44,97.02,Newfoundland and Labrador,-32.0,-17.0,35.0,-62.0,-55.0,16.0,258,8376.0,30.0,0,16060.0
2020-05-01,107.87,127.91,Newfoundland and Labrador,-33.0,-12.0,83.0,-57.0,-37.0,16.0,259,8545.0,26.0,1,16384.0
2020-05-02,96.41,89.12,Newfoundland and Labrador,-40.0,-15.0,1.0,-65.0,-35.0,11.0,259,8716.0,25.0,0,16712.0
2020-05-03,64.45,69.01,Newfoundland and Labrador,-31.0,-14.0,-12.0,-65.0,-20.0,6.0,259,8819.0,24.0,0,16909.0
2020-05-04,88.2,102.6,Newfoundland and Labrador,-28.0,-10.0,73.0,-58.0,-51.0,12.0,259,8935.0,23.0,0,17132.0
2020-05-05,73.95,72.57,Newfoundland and Labrador,-46.0,-28.0,-44.0,-72.0,-55.0,19.0,259,9127.0,15.0,0,17500.0
2020-05-06,92.97,94.61,Newfoundland and Labrador,-31.0,-11.0,37.0,-62.0,-53.0,16.0,259,9295.0,12.0,0,17822.0
2020-05-07,99.76,102.5,Newfoundland and Labrador,-30.0,-10.0,46.0,-59.0,-52.0,15.0,261,9451.0,14.0,2,18121.0
2020-05-08,102.8,114.24,Newfoundland and Labrador,-34.0,-7.0,11.0,-61.0,-35.0,18.0,261,9571.0,14.0,0,18351.0
2020-05-09,111.4,101.92,Newfoundland and Labrador,-30.0,6.0,36.0,-59.0,-29.0,9.0,261,9699.0,14.0,0,18597.0
2020-05-10,68.03,58.42,Newfoundland and Labrador,-15.0,0.0,12.0,-60.0,-12.0,4.0,261,9802.0,14.0,0,18794.0
2020-05-13,107.73,111.74,Newfoundland and Labrador,-28.0,-11.0,42.0,-57.0,-50.0,15.0,261,10149.0,11.0,0,19460.0
2020-05-14,108.44,113.19,Newfoundland and Labrador,-29.0,-13.0,23.0,-59.0,-50.0,13.0,261,10275.0,10.0,0,19701.0
2020-05-15,116.44,116.46,Newfoundland and Labrador,-30.0,-7.0,61.0,-56.0,-32.0,15.0,260,10343.0,9.0,-1,19832.0
2020-05-16,113.19,110.2,Newfoundland and Labrador,-35.0,-8.0,73.0,-57.0,-27.0,7.0,260,10524.0,8.0,0,20179.0
2020-05-17,101.88,95.48,Newfoundland and Labrador,-13.0,3.0,156.0,-53.0,-12.0,1.0,260,10622.0,8.0,0,20367.0
2020-05-19,111.52,149.86,Newfoundland and Labrador,-24.0,-6.0,30.0,-60.0,-48.0,14.0,260,10744.0,7.0,0,20600.0
2020-05-20,127.67,151.11,Newfoundland and Labrador,-15.0,3.0,121.0,-56.0,-48.0,12.0,260,10841.0,7.0,0,20786.0
2020-05-21,140.19,128.97,Newfoundland and Labrador,-18.0,-6.0,120.0,-59.0,-47.0,12.0,260,10967.0,4.0,0,21028.0
2020-05-22,134.84,132.34,Newfoundland and Labrador,-28.0,-7.0,62.0,-57.0,-26.0,15.0,260,11096.0,4.0,0,21275.0
2020-05-23,123.46,117.71,Newfoundland and Labrador,-31.0,-6.0,34.0,-62.0,-20.0,8.0,260,11207.0,3.0,0,21488.0
2020-05-24,134.7,122.43,Newfoundland and Labrador,-4.0,8.0,212.0,-47.0,-6.0,0.0,260,11285.0,3.0,0,21638.0
2020-05-26,123.1,128.49,Newfoundland and Labrador,-24.0,-11.0,75.0,-57.0,-45.0,12.0,260,11474.0,2.0,0,22000.0
2020-05-27,122.04,117.81,Newfoundland and Labrador,-17.0,-4.0,103.0,-54.0,-44.0,12.0,260,11568.0,2.0,0,22180.0
2020-05-28,125.36,133.01,Newfoundland and Labrador,-19.0,-7.0,74.0,-60.0,-44.0,12.0,261,11769.0,3.0,1,22566.0
2020-05-29,156.68,158.42,Newfoundland and Labrador,-22.0,0.0,169.0,-51.0,-24.0,11.0,261,11871.0,3.0,0,22761.0
2020-05-30,137.23,140.42,Newfoundland and Labrador,-26.0,-3.0,104.0,-57.0,-10.0,5.0,261,12073.0,3.0,0,23149.0
2020-05-31,121.26,109.14,Newfoundland and Labrador,-1.0,8.0,180.0,-49.0,6.0,-1.0,261,12188.0,3.0,0,23369.0
2020-06-02,110.71,108.57,Newfoundland and Labrador,-28.0,-16.0,2.0,-61.0,-43.0,14.0,261,12433.0,2.0,0,23839.0
2020-06-03,127.82,141.96,Newfoundland and Labrador,-19.0,-6.0,106.0,-54.0,-42.0,11.0,261,12601.0,2.0,0,24161.0
2020-06-04,113.04,129.45,Newfoundland and Labrador,-23.0,-11.0,36.0,-59.0,-42.0,13.0,261,12803.0,2.0,0,24548.0
2020-06-05,154.29,170.26,Newfoundland and Labrador,-22.0,-2.0,193.0,-40.0,-19.0,10.0,261,12935.0,2.0,0,24801.0
2020-06-06,134.53,175.55,Newfoundland and Labrador,-25.0,-2.0,114.0,-40.0,-10.0,4.0,261,13192.0,2.0,0,25294.0
2020-06-07,91.64,101.64,Newfoundland and Labrador,-15.0,0.0,33.0,-49.0,3.0,2.0,261,13335.0,2.0,0,25568.0
2020-06-09,135.09,150.91,Newfoundland and Labrador,-12.0,-8.0,60.0,-41.0,-38.0,10.0,261,13705.0,2.0,0,26278.0
2020-06-10,135.29,166.03,Newfoundland and Labrador,-6.0,0.0,98.0,-30.0,-37.0,9.0,261,13870.0,2.0,0,26594.0
2020-06-11,150.69,153.9,Newfoundland and Labrador,-6.0,-2.0,112.0,-22.0,-36.0,8.0,261,14071.0,2.0,0,26980.0
2020-06-12,162.58,167.76,Newfoundland and Labrador,-12.0,4.0,181.0,-19.0,-14.0,7.0,261,14236.0,2.0,0,27296.0
2020-06-13,149.71,170.74,Newfoundland and Labrador,-16.0,0.0,128.0,-10.0,-4.0,2.0,261,14419.0,2.0,0,27647.0
2020-06-14,102.9,95.09,Newfoundland and Labrador,-4.0,5.0,66.0,-10.0,8.0,-2.0,261,14592.0,2.0,0,27979.0
2020-06-16,147.53,182.39,Newfoundland and Labrador,-1.0,4.0,158.0,-18.0,-35.0,7.0,261,14902.0,1.0,0,28573.0
2020-06-17,154.89,173.44,Newfoundland and Labrador,-1.0,1.0,170.0,-16.0,-36.0,7.0,261,15091.0,1.0,0,28935.0
2020-06-18,150.58,155.53,Newfoundland and Labrador,-2.0,-1.0,111.0,-20.0,-36.0,7.0,261,15303.0,0.0,0,29342.0
2020-06-19,180.93,173.15,Newfoundland and Labrador,-6.0,4.0,119.0,-8.0,-13.0,6.0,261,15539.0,0.0,0,29794.0
2020-06-20,142.3,144.95,Newfoundland and Labrador,-10.0,11.0,79.0,0.0,-4.0,2.0,261,15700.0,0.0,0,30103.0
2020-06-25,169.27,194.8,Newfoundland and Labrador,3.0,1.0,180.0,-18.0,-35.0,6.0,261,16855.0,0.0,0,32318.0
2020-06-26,189.72,221.56,Newfoundland and Labrador,-3.0,5.0,183.0,-7.0,-11.0,5.0,261,17038.0,0.0,0,32669.0
2020-06-27,160.36,179.98,Newfoundland and Labrador,-14.0,1.0,107.0,-2.0,-3.0,1.0,261,17165.0,0.0,0,32912.0
2020-06-30,180.15,232.72,Newfoundland and Labrador,14.0,29.0,153.0,-19.0,-34.0,4.0,261,17690.0,0.0,0,33919.0
2020-07-02,174.29,171.13,Newfoundland and Labrador,2.0,5.0,59.0,-21.0,-37.0,7.0,261,18200.0,0.0,0,34897.0
2020-07-03,195.65,266.51,Newfoundland and Labrador,-1.0,7.0,120.0,-7.0,-13.0,6.0,261,18313.0,0.0,0,35113.0
2020-07-04,169.31,213.57,Newfoundland and Labrador,-9.0,4.0,130.0,-7.0,-3.0,1.0,261,18461.0,0.0,0,35397.0
2020-07-07,178.48,212.22,Newfoundland and Labrador,6.0,7.0,197.0,-16.0,-34.0,4.0,261,19099.0,0.0,0,36620.0
2020-07-09,189.99,211.16,Newfoundland and Labrador,5.0,4.0,126.0,-20.0,-33.0,5.0,261,19759.0,0.0,0,37886.0
2020-07-10,206.05,219.54,Newfoundland and Labrador,-1.0,8.0,165.0,-6.0,-9.0,4.0,262,19945.0,1.0,1,38242.0
2020-07-11,201.51,220.21,Newfoundland and Labrador,-8.0,6.0,234.0,-6.0,0.0,-3.0,262,20139.0,1.0,0,38614.0
2020-07-14,189.39,181.52,Newfoundland and Labrador,2.0,4.0,141.0,-21.0,-34.0,5.0,262,20766.0,1.0,0,39817.0
2020-07-15,167.82,172.86,Newfoundland and Labrador,-5.0,-4.0,65.0,-25.0,-34.0,8.0,262,21032.0,1.0,0,40327.0
2020-07-16,179.75,181.52,Newfoundland and Labrador,4.0,7.0,100.0,-24.0,-33.0,6.0,262,21317.0,1.0,0,40873.0
2020-07-17,206.39,219.73,Newfoundland and Labrador,-2.0,6.0,144.0,-7.0,-10.0,5.0,262,21546.0,0.0,0,41312.0
2020-07-18,207.06,213.19,Newfoundland and Labrador,-4.0,11.0,221.0,-2.0,-2.0,-2.0,262,21723.0,0.0,0,41651.0
2020-07-23,209.57,201.73,Newfoundland and Labrador,9.0,7.0,237.0,-13.0,-32.0,3.0,264,22983.0,2.0,0,44067.0
2020-07-24,204.69,199.71,Newfoundland and Labrador,-6.0,4.0,131.0,-9.0,-9.0,6.0,265,23254.0,3.0,1,44587.0
2020-07-25,223.04,225.12,Newfoundland and Labrador,-8.0,4.0,228.0,4.0,0.0,-3.0,265,23361.0,3.0,0,44792.0
2020-07-26,166.38,136.67,Newfoundland and Labrador,16.0,16.0,180.0,5.0,14.0,-5.0,266,23657.0,4.0,1,45360.0
2020-07-31,229.66,236.77,Newfoundland and Labrador,1.0,10.0,180.0,-16.0,-12.0,4.0,266,24924.0,4.0,0,47789.0
2020-08-01,207.34,219.73,Newfoundland and Labrador,-7.0,8.0,148.0,-21.0,-3.0,0.0,266,25056.0,4.0,0,48042.0
2020-08-06,232.39,239.36,Newfoundland and Labrador,12.0,8.0,240.0,-26.0,-33.0,3.0,266,26280.0,0.0,0,50389.0
2020-08-07,255.01,253.13,Newfoundland and Labrador,0.0,7.0,268.0,-19.0,-10.0,2.0,267,26431.0,1.0,1,50679.0
2020-08-08,236.07,216.84,Newfoundland and Labrador,-6.0,4.0,257.0,-11.0,-3.0,-4.0,267,26629.0,1.0,0,51058.0
2020-08-13,226.7,227.33,Newfoundland and Labrador,7.0,3.0,168.0,-23.0,-34.0,4.0,268,27834.0,2.0,0,53369.0
