date,driving,walking,transit,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-16,85.79,78.25,58.95,Nova Scotia,-5.0,34.0,20.0,-27.0,-29.0,9.0,3,1075.0,3.0,3,1107.0
2020-03-17,81.48,71.66,50.22,Nova Scotia,-22.0,15.0,21.0,-33.0,-37.0,12.0,5,1075.0,5.0,2,1107.0
2020-03-18,78.25,75.13,45.8,Nova Scotia,-30.0,0.0,71.0,-36.0,-42.0,14.0,7,1278.0,7.0,2,1316.0
2020-03-19,75.69,66.32,41.42,Nova Scotia,-30.0,4.0,86.0,-42.0,-44.0,14.0,14,1520.0,14.0,7,1565.0
2020-03-20,70.9,57.09,30.4,Nova Scotia,-43.0,-8.0,-22.0,-49.0,-47.0,19.0,15,1647.0,15.0,1,1695.0
2020-03-21,79.01,62.51,29.43,Nova Scotia,-49.0,-21.0,88.0,-38.0,-34.0,11.0,21,1956.0,21.0,6,2014.0
2020-03-22,50.9,40.53,23.12,Nova Scotia,-34.0,4.0,83.0,-38.0,-25.0,4.0,28,2210.0,28.0,7,2275.0
2020-03-23,52.68,47.15,25.89,Nova Scotia,-50.0,-21.0,-16.0,-58.0,-55.0,19.0,41,2408.0,41.0,13,2479.0
2020-03-24,39.61,35.27,20.06,Nova Scotia,-65.0,-39.0,-54.0,-66.0,-61.0,24.0,51,2641.0,51.0,10,2719.0
2020-03-25,56.71,53.51,25.73,Nova Scotia,-51.0,-21.0,-7.0,-57.0,-58.0,20.0,68,3008.0,68.0,17,3097.0
2020-03-26,43.83,40.48,23.08,Nova Scotia,-58.0,-30.0,-47.0,-69.0,-59.0,22.0,73,3417.0,71.0,5,3518.0
2020-03-27,54.72,45.95,21.83,Nova Scotia,-55.0,-24.0,-42.0,-65.0,-57.0,24.0,90,3946.0,88.0,17,4062.0
