date,driving,walking,transit,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-11,101.3,100.64,88.14,Ontario,3.0,7.0,1.0,-5.0,2.0,1.0,42,3394.0,41.0,8,233.0
2020-03-12,98.61,96.65,82.08,Ontario,6.0,32.0,9.0,-6.0,1.0,1.0,59,4185.0,58.0,17,287.0
2020-03-13,101.36,95.71,74.12,Ontario,-3.0,41.0,-7.0,-16.0,-4.0,3.0,79,4185.0,78.0,20,287.0
2020-03-14,86.36,96.9,59.1,Ontario,-10.0,26.0,5.0,-17.0,0.0,3.0,79,6646.0,78.0,0,456.0
2020-03-15,66.59,67.4,47.37,Ontario,-10.0,14.0,44.0,-22.0,-6.0,4.0,103,8461.0,102.0,24,581.0
2020-03-16,71.71,65.77,46.1,Ontario,-12.0,27.0,10.0,-39.0,-31.0,11.0,145,10178.0,144.0,42,699.0
2020-03-17,64.05,56.88,36.54,Ontario,-29.0,15.0,2.0,-46.0,-39.0,15.0,177,11167.0,176.0,32,767.0
2020-03-18,60.04,51.81,32.01,Ontario,-36.0,1.0,1.0,-51.0,-44.0,17.0,189,13869.0,188.0,12,952.0
2020-03-19,58.31,51.46,28.99,Ontario,-38.0,2.0,11.0,-54.0,-47.0,19.0,258,18488.0,256.0,69,1269.0
2020-03-20,59.09,49.52,27.79,Ontario,-45.0,-8.0,-15.0,-56.0,-49.0,21.0,311,21499.0,309.0,53,1476.0
2020-03-21,50.33,45.26,24.57,Ontario,-48.0,-12.0,16.0,-49.0,-34.0,13.0,377,25470.0,374.0,66,1749.0
2020-03-22,39.56,38.54,20.89,Ontario,-51.0,-22.0,6.0,-55.0,-38.0,12.0,425,28570.0,420.0,48,1961.0
2020-03-23,44.65,36.02,22.31,Ontario,-47.0,-13.0,-39.0,-66.0,-55.0,22.0,503,30688.0,497.0,78,2107.0
2020-03-24,46.66,42.24,20.98,Ontario,-48.0,-12.0,-6.0,-64.0,-57.0,22.0,588,34727.0,580.0,85,2384.0
2020-03-25,43.94,42.23,19.4,Ontario,-54.0,-23.0,5.0,-67.0,-61.0,25.0,688,38040.0,675.0,100,2611.0
2020-03-26,43.64,40.53,18.47,Ontario,-55.0,-22.0,-10.0,-68.0,-61.0,26.0,858,41217.0,835.0,170,2830.0
2020-03-27,49.41,47.18,19.06,Ontario,-54.0,-21.0,10.0,-67.0,-61.0,26.0,993,43651.0,967.0,135,2997.0
2020-03-28,39.14,35.03,16.57,Ontario,-60.0,-29.0,-31.0,-65.0,-46.0,16.0,993,45836.0,967.0,0,3147.0
2020-03-29,33.63,34.3,16.31,Ontario,-59.0,-33.0,-14.0,-66.0,-46.0,14.0,1355,52002.0,1328.0,362,3570.0
2020-03-30,42.25,37.04,18.37,Ontario,-55.0,-27.0,-34.0,-71.0,-63.0,25.0,1706,54112.0,1242.0,351,3715.0
2020-03-31,44.74,40.64,18.77,Ontario,-51.0,-17.0,-27.0,-69.0,-62.0,24.0,1966,55909.0,1399.0,260,3838.0
2020-04-01,46.25,46.54,18.43,Ontario,-51.0,-21.0,1.0,-69.0,-63.0,25.0,2392,61009.0,1666.0,426,4188.0
2020-04-02,46.29,46.32,17.86,Ontario,-51.0,-20.0,3.0,-69.0,-63.0,26.0,2793,64785.0,1909.0,401,4448.0
2020-04-03,49.13,42.88,17.36,Ontario,-55.0,-22.0,-28.0,-70.0,-62.0,27.0,3255,67998.0,3188.0,462,4668.0
2020-04-04,41.73,41.87,15.82,Ontario,-57.0,-27.0,-18.0,-63.0,-46.0,16.0,3630,72674.0,3536.0,375,4989.0
2020-04-05,33.69,37.53,15.15,Ontario,-60.0,-32.0,-11.0,-67.0,-47.0,14.0,4038,76027.0,2700.0,408,5219.0
2020-04-06,43.97,44.8,16.86,Ontario,-55.0,-23.0,-5.0,-70.0,-63.0,24.0,4347,79125.0,2591.0,309,5432.0
2020-04-07,44.45,40.96,15.85,Ontario,-55.0,-18.0,-21.0,-69.0,-63.0,25.0,4726,82055.0,4573.0,379,5633.0
2020-04-08,47.46,45.63,15.92,Ontario,-52.0,-14.0,-10.0,-69.0,-64.0,25.0,5276,85703.0,5102.0,550,5884.0
2020-04-09,51.87,42.31,15.87,Ontario,-44.0,7.0,-31.0,-68.0,-64.0,25.0,5759,89906.0,5559.0,483,6172.0
2020-04-10,38.62,33.93,13.64,Ontario,-82.0,-67.0,-38.0,-81.0,-86.0,36.0,6237,94271.0,6015.0,478,6472.0
2020-04-11,45.44,41.1,15.06,Ontario,-54.0,-9.0,-20.0,-62.0,-48.0,16.0,6648,97838.0,6395.0,411,6717.0
2020-04-12,31.05,33.64,12.88,Ontario,-80.0,-68.0,-20.0,-70.0,-55.0,15.0,7049,104784.0,6775.0,401,7193.0
2020-04-13,40.88,32.7,15.9,Ontario,-58.0,-25.0,-47.0,-75.0,-69.0,27.0,7470,109764.0,7179.0,421,7535.0
2020-04-14,48.67,41.23,16.7,Ontario,-52.0,-14.0,-31.0,-70.0,-63.0,25.0,7953,115189.0,7619.0,483,7908.0
2020-04-15,49.74,40.03,16.33,Ontario,-53.0,-20.0,-37.0,-70.0,-63.0,26.0,8447,120182.0,8062.0,494,8251.0
2020-04-16,50.37,39.29,15.73,Ontario,-54.0,-19.0,-32.0,-70.0,-63.0,27.0,8961,125309.0,8538.0,514,8603.0
2020-04-17,55.16,43.93,16.4,Ontario,-56.0,-23.0,-33.0,-69.0,-62.0,28.0,9525,132133.0,9047.0,564,9071.0
2020-04-18,50.32,45.97,15.76,Ontario,-58.0,-27.0,-11.0,-58.0,-43.0,15.0,10010,139448.0,4621.0,485,9573.0
2020-04-19,39.13,34.78,14.63,Ontario,-61.0,-36.0,-36.0,-66.0,-44.0,14.0,10578,148106.0,4816.0,568,10168.0
2020-04-20,52.63,46.5,18.62,Ontario,-53.0,-23.0,-5.0,-68.0,-62.0,24.0,11184,148106.0,5085.0,606,10168.0
2020-04-21,51.03,37.81,16.43,Ontario,-56.0,-26.0,-44.0,-70.0,-62.0,25.0,11735,148106.0,5307.0,551,10168.0
2020-04-22,54.29,43.76,17.02,Ontario,-54.0,-22.0,-27.0,-69.0,-62.0,25.0,12245,178467.0,5365.0,510,12252.0
2020-04-23,55.15,44.45,16.98,Ontario,-54.0,-21.0,-25.0,-68.0,-62.0,26.0,12879,188377.0,5486.0,634,12932.0
2020-04-24,61.88,48.78,17.85,Ontario,-56.0,-25.0,-19.0,-67.0,-61.0,26.0,13519,200270.0,5669.0,640,13749.0
2020-04-25,57.42,55.66,17.14,Ontario,-56.0,-25.0,22.0,-54.0,-41.0,14.0,13995,210502.0,5675.0,476,14451.0
2020-04-26,42.87,35.7,15.64,Ontario,-59.0,-32.0,-36.0,-65.0,-43.0,14.0,14432,222129.0,5597.0,437,15249.0
2020-04-27,57.34,54.19,19.19,Ontario,-51.0,-20.0,19.0,-65.0,-60.0,23.0,14856,234268.0,5439.0,424,16083.0
2020-04-28,58.4,50.28,18.9,Ontario,-51.0,-18.0,-3.0,-65.0,-61.0,18.0,15381,244766.0,5466.0,525,16803.0
2020-04-29,58.09,46.24,18.14,Ontario,-53.0,-23.0,-31.0,-68.0,-61.0,25.0,15728,255942.0,5120.0,347,17571.0
2020-04-30,60.73,48.97,19.46,Ontario,-51.0,-18.0,-24.0,-67.0,-61.0,26.0,16187,268447.0,4900.0,459,18429.0
2020-05-01,71.55,62.58,20.61,Ontario,-51.0,-18.0,10.0,-63.0,-59.0,25.0,16608,284438.0,4662.0,421,19527.0
2020-05-02,61.45,55.65,19.39,Ontario,-54.0,-23.0,1.0,-54.0,-39.0,14.0,17119,300210.0,4553.0,511,20610.0
2020-05-03,56.35,63.91,20.78,Ontario,-49.0,-21.0,62.0,-52.0,-36.0,11.0,17553,316796.0,4332.0,434,21748.0
2020-05-04,64.15,55.7,22.24,Ontario,-49.0,-18.0,-3.0,-66.0,-59.0,23.0,17923,330875.0,4118.0,370,22715.0
2020-05-05,67.22,58.31,22.24,Ontario,-48.0,-14.0,4.0,-64.0,-59.0,23.0,18310,341180.0,4170.0,387,23422.0
