date,driving,walking,transit,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-11,106.39,114.83,98.82,Quebec,3.0,3.0,-3.0,-3.0,1.0,1.0,7,556.0,7.0,3,66.0
2020-03-12,103.57,111.73,89.93,Quebec,8.0,28.0,1.0,-6.0,1.0,0.0,13,740.0,13.0,6,87.0
2020-03-13,93.79,102.14,77.11,Quebec,-13.0,30.0,-38.0,-23.0,-15.0,8.0,17,740.0,17.0,4,87.0
2020-03-14,82.69,101.02,66.28,Quebec,-16.0,10.0,-13.0,-21.0,-4.0,6.0,17,1584.0,17.0,0,187.0
2020-03-15,64.1,70.99,52.82,Quebec,-17.0,7.0,4.0,-28.0,-6.0,5.0,24,2337.0,24.0,7,275.0
2020-03-16,70.27,72.24,50.94,Quebec,-21.0,5.0,3.0,-43.0,-30.0,11.0,39,3129.0,39.0,15,369.0
2020-03-17,59.91,57.17,39.54,Quebec,-36.0,-3.0,-30.0,-52.0,-37.0,16.0,50,4870.0,50.0,11,574.0
2020-03-18,59.49,61.62,37.36,Quebec,-36.0,4.0,0.0,-52.0,-41.0,17.0,74,5880.0,73.0,24,693.0
2020-03-19,57.7,57.36,33.09,Quebec,-40.0,3.0,-1.0,-55.0,-44.0,18.0,121,6757.0,120.0,47,796.0
2020-03-20,56.82,51.36,31.24,Quebec,-51.0,-11.0,-45.0,-59.0,-46.0,22.0,139,8539.0,138.0,18,1006.0
2020-03-21,44.91,47.74,28.1,Quebec,-54.0,-15.0,-14.0,-52.0,-32.0,15.0,221,8539.0,217.0,82,1006.0
2020-03-22,36.88,41.91,24.92,Quebec,-53.0,-20.0,-8.0,-56.0,-32.0,11.0,221,8539.0,217.0,0,1006.0
2020-03-23,47.53,44.29,25.35,Quebec,-44.0,-13.0,-41.0,-66.0,-49.0,19.0,628,8539.0,624.0,407,1006.0
2020-03-24,44.91,48.49,22.78,Quebec,-51.0,-18.0,-17.0,-67.0,-55.0,22.0,1013,15071.0,1009.0,385,1776.0
2020-03-25,38.75,47.01,21.45,Quebec,-60.0,-25.0,-19.0,-71.0,-64.0,26.0,1339,27828.0,1333.0,326,3280.0
2020-03-26,38.82,43.99,20.36,Quebec,-61.0,-22.0,-32.0,-73.0,-65.0,28.0,1629,33311.0,1619.0,290,3926.0
2020-03-27,43.44,53.83,20.78,Quebec,-63.0,-26.0,-14.0,-70.0,-64.0,28.0,2021,34356.0,1974.0,392,4049.0
2020-03-28,35.78,45.2,19.27,Quebec,-65.0,-31.0,-19.0,-64.0,-47.0,18.0,2498,46087.0,2447.0,477,5432.0
2020-03-29,27.09,27.03,16.5,Quebec,-70.0,-44.0,-68.0,-75.0,-45.0,15.0,2840,52204.0,2789.0,342,6153.0
2020-03-30,35.42,35.66,19.7,Quebec,-60.0,-34.0,-51.0,-76.0,-66.0,26.0,3430,59715.0,3376.0,590,7038.0
2020-03-31,39.29,49.07,21.14,Quebec,-55.0,-23.0,0.0,-72.0,-66.0,26.0,4162,67540.0,4102.0,732,7960.0
