date,driving,walking,transit,region,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numtested,numactive,numtoday,ratetested
2020-03-12,112.14,115.47,88.53,Saskatchewan,10.0,30.0,1.0,-3.0,2.0,0.0,1,285.0,1.0,1,243.0
2020-03-13,119.52,119.12,82.55,Saskatchewan,1.0,32.0,-18.0,-7.0,-1.0,1.0,1,285.0,1.0,0,243.0
2020-03-14,97.78,99.88,67.15,Saskatchewan,-7.0,24.0,-33.0,-13.0,-1.0,4.0,2,349.0,2.0,1,297.0
2020-03-15,75.52,66.25,49.09,Saskatchewan,-14.0,8.0,-8.0,-17.0,-4.0,4.0,2,349.0,2.0,0,297.0
2020-03-16,83.85,85.74,65.09,Saskatchewan,-5.0,34.0,-10.0,-23.0,-8.0,5.0,6,881.0,6.0,4,750.0
2020-03-17,84.72,85.74,53.12,Saskatchewan,-17.0,20.0,4.0,-24.0,-18.0,8.0,7,1066.0,7.0,1,908.0
2020-03-18,83.24,85.3,52.46,Saskatchewan,-24.0,20.0,1.0,-31.0,-23.0,11.0,8,1910.0,8.0,1,1626.0
2020-03-19,80.03,79.25,45.88,Saskatchewan,-29.0,13.0,7.0,-37.0,-29.0,13.0,20,1910.0,20.0,12,1626.0
2020-03-20,84.25,80.21,42.86,Saskatchewan,-37.0,7.0,-8.0,-39.0,-36.0,15.0,26,1910.0,26.0,6,1626.0
2020-03-21,66.1,68.71,34.21,Saskatchewan,-51.0,-9.0,0.0,-37.0,-27.0,12.0,44,3807.0,44.0,18,3241.0
2020-03-22,52.08,57.4,28.92,Saskatchewan,-53.0,-22.0,39.0,-46.0,-31.0,10.0,52,4407.0,52.0,8,3752.0
2020-03-23,65.35,74.09,36.47,Saskatchewan,-47.0,-13.0,25.0,-50.0,-44.0,16.0,66,5130.0,66.0,14,4368.0
2020-03-24,61.13,60.72,32.39,Saskatchewan,-54.0,-22.0,-15.0,-50.0,-47.0,20.0,72,5604.0,72.0,6,4772.0
2020-03-25,63.97,61.62,28.92,Saskatchewan,-52.0,-17.0,-9.0,-53.0,-48.0,19.0,86,6111.0,86.0,14,5203.0
2020-03-26,66.83,68.63,28.97,Saskatchewan,-50.0,-13.0,13.0,-54.0,-49.0,20.0,95,6729.0,92.0,9,5729.0
2020-03-27,70.82,81.06,29.83,Saskatchewan,-50.0,-13.0,6.0,-51.0,-49.0,20.0,104,7360.0,101.0,9,6267.0
2020-03-28,60.68,68.86,33.85,Saskatchewan,-54.0,-18.0,11.0,-49.0,-36.0,14.0,134,8009.0,131.0,30,6819.0
2020-03-29,50.98,56.34,30.18,Saskatchewan,-53.0,-24.0,45.0,-52.0,-37.0,11.0,134,8822.0,130.0,0,7512.0
2020-03-30,64.94,72.08,35.51,Saskatchewan,-45.0,-16.0,10.0,-55.0,-49.0,17.0,175,9372.0,159.0,41,7980.0
2020-03-31,62.01,65.19,26.71,Saskatchewan,-49.0,-20.0,-23.0,-55.0,-50.0,20.0,184,9372.0,161.0,9,7980.0
2020-04-01,61.78,66.15,27.97,Saskatchewan,-51.0,-21.0,-30.0,-57.0,-50.0,20.0,193,10202.0,160.0,9,8687.0
2020-04-02,64.12,67.1,27.67,Saskatchewan,-50.0,-16.0,-23.0,-58.0,-50.0,21.0,206,11034.0,167.0,13,9395.0
2020-04-03,73.42,81.3,34.61,Saskatchewan,-47.0,-11.0,-24.0,-56.0,-49.0,21.0,220,11720.0,217.0,14,9979.0
2020-04-04,56.04,54.48,26.46,Saskatchewan,-57.0,-24.0,-45.0,-59.0,-39.0,16.0,231,12244.0,228.0,11,10425.0
2020-04-05,48.2,44.46,19.87,Saskatchewan,-55.0,-29.0,-14.0,-59.0,-39.0,12.0,249,13055.0,191.0,18,11116.0
2020-04-06,59.98,63.58,28.57,Saskatchewan,-50.0,-21.0,-15.0,-60.0,-50.0,19.0,253,13680.0,169.0,4,11648.0
2020-04-07,66.63,69.28,28.87,Saskatchewan,-45.0,-12.0,10.0,-53.0,-50.0,19.0,260,14203.0,257.0,7,12093.0
2020-04-08,69.18,68.93,26.36,Saskatchewan,-47.0,-11.0,-24.0,-57.0,-50.0,20.0,271,15059.0,268.0,11,12822.0
2020-04-09,79.45,88.52,33.3,Saskatchewan,-30.0,19.0,14.0,-53.0,-51.0,18.0,278,16059.0,275.0,7,13673.0
2020-04-10,61.34,69.33,28.37,Saskatchewan,-57.0,-28.0,-3.0,-65.0,-77.0,28.0,285,16952.0,282.0,7,14434.0
