date,region,numtotal,numtested,numactive,numtoday,ratetested
2020-03-11,British Columbia,39,4373.0,38.0,0,862.0
2020-03-11,Alberta,14,1969.0,14.0,0,450.0
2020-03-11,Ontario,42,3394.0,41.0,8,233.0
2020-03-11,Quebec,7,556.0,7.0,3,66.0
2020-03-11,Canada,103,11023.0,101.0,26,293.0
2020-03-12,British Columbia,46,5195.0,45.0,7,1024.0
2020-03-12,Alberta,19,4109.0,19.0,5,940.0
2020-03-12,Saskatchewan,1,285.0,1.0,1,243.0
2020-03-12,Manitoba,1,352.0,1.0,1,257.0
2020-03-12,Ontario,59,4185.0,58.0,17,287.0
2020-03-12,Quebec,13,740.0,13.0,6,87.0
2020-03-12,New Brunswick,1,44.0,1.0,1,57.0
2020-03-12,Canada,141,15185.0,139.0,38,404.0
2020-03-13,British Columbia,53,5195.0,52.0,7,1024.0
2020-03-13,Alberta,23,4109.0,23.0,4,940.0
2020-03-13,Saskatchewan,1,285.0,1.0,0,243.0
2020-03-13,Manitoba,3,352.0,3.0,2,257.0
2020-03-13,Ontario,79,4185.0,78.0,20,287.0
2020-03-13,Quebec,17,740.0,17.0,4,87.0
2020-03-13,New Brunswick,1,44.0,1.0,0,57.0
2020-03-13,Canada,179,15185.0,177.0,38,404.0
2020-03-14,British Columbia,64,7033.0,63.0,11,1387.0
2020-03-14,Alberta,29,5247.0,29.0,6,1200.0
2020-03-14,Saskatchewan,2,349.0,2.0,1,297.0
2020-03-14,Manitoba,4,837.0,4.0,1,611.0
2020-03-14,Ontario,79,6646.0,78.0,0,456.0
2020-03-14,Quebec,17,1584.0,17.0,0,187.0
2020-03-14,New Brunswick,2,82.0,2.0,1,106.0
2020-03-14,Canada,199,22409.0,197.0,20,596.0
2020-03-15,British Columbia,73,7033.0,72.0,9,1387.0
2020-03-15,Alberta,39,5247.0,39.0,10,1200.0
2020-03-15,Saskatchewan,2,349.0,2.0,0,297.0
2020-03-15,Manitoba,4,837.0,4.0,0,611.0
2020-03-15,Ontario,103,8461.0,102.0,24,581.0
2020-03-15,Quebec,24,2337.0,24.0,7,275.0
2020-03-15,Newfoundland and Labrador,1,62.0,1.0,1,119.0
2020-03-15,New Brunswick,2,82.0,2.0,0,106.0
2020-03-15,Prince Edward Island,1,6.0,1.0,1,38.0
2020-03-15,Canada,253,24977.0,251.0,54,664.0
2020-03-16,British Columbia,73,9926.0,69.0,0,1957.0
2020-03-16,Alberta,56,10238.0,56.0,17,2342.0
2020-03-16,Saskatchewan,6,881.0,6.0,4,750.0
2020-03-16,Manitoba,7,1848.0,7.0,3,1349.0
2020-03-16,Ontario,145,10178.0,144.0,42,699.0
2020-03-16,Quebec,39,3129.0,39.0,15,369.0
2020-03-16,Newfoundland and Labrador,1,161.0,1.0,0,309.0
2020-03-16,New Brunswick,6,143.0,6.0,4,184.0
2020-03-16,Nova Scotia,3,1075.0,3.0,3,1107.0
2020-03-16,Prince Edward Island,1,6.0,1.0,0,38.0
2020-03-16,Canada,341,37730.0,336.0,88,1004.0
2020-03-17,British Columbia,103,11612.0,96.0,30,2290.0
2020-03-17,Alberta,74,11487.0,74.0,18,2628.0
2020-03-17,Saskatchewan,7,1066.0,7.0,1,908.0
2020-03-17,Manitoba,7,2216.0,7.0,0,1618.0
2020-03-17,Ontario,177,11167.0,176.0,32,767.0
2020-03-17,Quebec,50,4870.0,50.0,11,574.0
2020-03-17,Newfoundland and Labrador,1,161.0,1.0,0,309.0
2020-03-17,New Brunswick,7,295.0,7.0,1,380.0
2020-03-17,Nova Scotia,5,1075.0,5.0,2,1107.0
2020-03-17,Prince Edward Island,1,75.0,1.0,0,478.0
2020-03-17,Canada,440,44176.0,432.0,99,1175.0
2020-03-18,British Columbia,186,13388.0,179.0,83,2640.0
2020-03-18,Alberta,97,13686.0,97.0,23,3131.0
2020-03-18,Saskatchewan,8,1910.0,8.0,1,1626.0
2020-03-18,Manitoba,15,2739.0,15.0,8,2000.0
2020-03-18,Ontario,189,13869.0,188.0,12,952.0
2020-03-18,Quebec,74,5880.0,73.0,24,693.0
2020-03-18,Newfoundland and Labrador,3,161.0,3.0,2,309.0
2020-03-18,New Brunswick,8,408.0,8.0,1,525.0
2020-03-18,Nova Scotia,7,1278.0,7.0,2,1316.0
2020-03-18,Prince Edward Island,1,75.0,1.0,0,478.0
2020-03-18,Canada,597,53546.0,588.0,157,1425.0
2020-03-19,British Columbia,271,16382.0,263.0,85,3230.0
2020-03-19,Alberta,146,16507.0,145.0,49,3776.0
2020-03-19,Saskatchewan,20,1910.0,20.0,12,1626.0
2020-03-19,Manitoba,17,3189.0,17.0,2,2329.0
2020-03-19,Ontario,258,18488.0,256.0,69,1269.0
2020-03-19,Quebec,121,6757.0,120.0,47,796.0
2020-03-19,Newfoundland and Labrador,3,267.0,3.0,0,512.0
2020-03-19,New Brunswick,11,527.0,11.0,3,678.0
2020-03-19,Nova Scotia,14,1520.0,14.0,7,1565.0
2020-03-19,Prince Edward Island,2,75.0,2.0,1,478.0
2020-03-19,Canada,873,65851.0,861.0,276,1752.0
2020-03-20,British Columbia,271,18792.0,262.0,0,3706.0
2020-03-20,Alberta,195,19782.0,194.0,49,4525.0
2020-03-20,Saskatchewan,26,1910.0,26.0,6,1626.0
2020-03-20,Manitoba,17,3367.0,17.0,0,2459.0
2020-03-20,Ontario,311,21499.0,309.0,53,1476.0
2020-03-20,Quebec,139,8539.0,138.0,18,1006.0
2020-03-20,Newfoundland and Labrador,4,287.0,4.0,1,550.0
2020-03-20,New Brunswick,11,640.0,11.0,0,824.0
2020-03-20,Nova Scotia,15,1647.0,15.0,1,1695.0
2020-03-20,Prince Edward Island,2,75.0,2.0,0,478.0
2020-03-20,Canada,1004,76814.0,991.0,131,2044.0
2020-03-21,British Columbia,424,20417.0,414.0,153,4026.0
2020-03-21,Alberta,226,23060.0,225.0,31,5275.0
2020-03-21,Saskatchewan,44,3807.0,44.0,18,3241.0
2020-03-21,Manitoba,19,3668.0,19.0,2,2678.0
2020-03-21,Ontario,377,25470.0,374.0,66,1749.0
2020-03-21,Quebec,221,8539.0,217.0,82,1006.0
2020-03-21,Newfoundland and Labrador,6,299.0,6.0,2,573.0
2020-03-21,New Brunswick,17,865.0,17.0,6,1114.0
2020-03-21,Nova Scotia,21,1956.0,21.0,6,2014.0
2020-03-21,Prince Edward Island,2,75.0,2.0,0,478.0
2020-03-21,Northwest Territories,1,301.0,1.0,1,6715.0
2020-03-21,Canada,1371,88883.0,1353.0,367,2365.0
2020-03-22,British Columbia,424,22135.0,414.0,0,4365.0
2020-03-22,Alberta,259,26999.0,258.0,33,6176.0
2020-03-22,Saskatchewan,52,4407.0,52.0,8,3752.0
2020-03-22,Manitoba,19,3936.0,19.0,0,2874.0
2020-03-22,Ontario,425,28570.0,420.0,48,1961.0
2020-03-22,Quebec,221,8539.0,217.0,0,1006.0
2020-03-22,Newfoundland and Labrador,9,299.0,9.0,3,573.0
2020-03-22,New Brunswick,17,924.0,17.0,0,1189.0
2020-03-22,Nova Scotia,28,2210.0,28.0,7,2275.0
2020-03-22,Prince Edward Island,3,75.0,3.0,1,478.0
2020-03-22,Northwest Territories,1,301.0,1.0,0,6715.0
2020-03-22,Canada,1471,98824.0,1451.0,100,2629.0
2020-03-23,British Columbia,472,23460.0,459.0,48,4626.0
