date,driving,walking,transit,region
2020-01-13,100.0,100.0,100.0,Ontario
2020-01-14,104.43,107.26,101.53,Ontario
2020-01-15,103.14,108.63,100.73,Ontario
2020-01-16,107.74,106.54,99.87,Ontario
2020-01-17,125.31,122.32,104.7,Ontario
2020-01-18,90.91,101.37,83.29,Ontario
2020-01-19,82.23,78.72,72.3,Ontario
2020-01-20,100.56,94.41,95.76,Ontario
2020-01-21,101.84,99.86,95.89,Ontario
2020-01-22,103.97,104.26,99.91,Ontario
2020-01-23,106.54,109.82,99.54,Ontario
2020-01-24,124.38,125.27,105.99,Ontario
2020-01-25,110.28,119.14,86.46,Ontario
2020-01-26,84.13,80.89,71.16,Ontario
2020-01-27,94.99,95.01,90.57,Ontario
2020-01-28,100.35,104.09,94.03,Ontario
2020-01-29,102.92,104.27,93.3,Ontario
2020-01-30,106.91,107.24,96.84,Ontario
2020-01-31,126.57,128.71,102.95,Ontario
2020-02-01,116.87,128.78,90.62,Ontario
2020-02-02,83.54,80.19,72.07,Ontario
2020-02-03,96.26,97.84,92.82,Ontario
2020-02-04,100.32,102.67,94.92,Ontario
2020-02-05,102.16,99.43,91.96,Ontario
2020-02-06,100.82,94.46,92.44,Ontario
2020-02-07,118.95,116.95,99.87,Ontario
2020-02-08,113.55,120.61,89.23,Ontario
2020-02-09,89.24,81.91,74.21,Ontario
2020-02-10,99.48,97.47,91.8,Ontario
2020-02-11,103.68,103.14,94.52,Ontario
2020-02-12,105.42,104.5,94.27,Ontario
2020-02-13,114.5,109.1,101.92,Ontario
2020-02-14,137.06,131.38,101.72,Ontario
2020-02-15,122.49,130.06,84.89,Ontario
2020-02-16,101.27,107.86,72.52,Ontario
2020-02-17,87.58,82.64,69.32,Ontario
2020-02-18,110.59,102.26,95.87,Ontario
2020-02-19,109.82,105.53,94.06,Ontario
2020-02-20,117.73,113.34,97.44,Ontario
2020-02-21,136.47,141.55,108.22,Ontario
2020-02-22,127.82,147.63,93.45,Ontario
2020-02-23,99.66,101.41,77.77,Ontario
2020-02-24,101.42,104.62,92.71,Ontario
2020-02-25,105.84,103.71,93.98,Ontario
2020-02-26,96.75,90.03,88.68,Ontario
2020-02-27,101.12,91.16,90.22,Ontario
2020-02-28,125.55,115.16,99.86,Ontario
2020-02-29,121.0,127.34,93.33,Ontario
2020-03-01,93.15,93.66,76.25,Ontario
2020-03-02,103.13,102.06,94.67,Ontario
2020-03-03,110.96,108.98,96.96,Ontario
2020-03-04,110.8,116.08,98.98,Ontario
2020-03-05,117.35,126.5,105.67,Ontario
2020-03-06,122.75,123.21,99.37,Ontario
2020-03-07,120.24,141.99,91.53,Ontario
2020-03-08,95.5,106.46,75.81,Ontario
2020-03-09,101.75,111.62,92.81,Ontario
2020-03-10,103.31,102.41,89.84,Ontario
2020-03-11,101.3,100.64,88.14,Ontario
2020-03-12,98.61,96.65,82.08,Ontario
2020-03-13,101.36,95.71,74.12,Ontario
2020-03-14,86.36,96.9,59.1,Ontario
2020-03-15,66.59,67.4,47.37,Ontario
2020-03-16,71.71,65.77,46.1,Ontario
2020-03-17,64.05,56.88,36.54,Ontario
2020-03-18,60.04,51.81,32.01,Ontario
2020-03-19,58.31,51.46,28.99,Ontario
2020-03-20,59.09,49.52,27.79,Ontario
2020-03-21,50.33,45.26,24.57,Ontario
2020-03-22,39.56,38.54,20.89,Ontario
2020-03-23,44.65,36.02,22.31,Ontario
2020-03-24,46.66,42.24,20.98,Ontario
2020-03-25,43.94,42.23,19.4,Ontario
2020-03-26,43.64,40.53,18.47,Ontario
2020-03-27,49.41,47.18,19.06,Ontario
2020-03-28,39.14,35.03,16.57,Ontario
2020-03-29,33.63,34.3,16.31,Ontario
2020-03-30,42.25,37.04,18.37,Ontario
2020-03-31,44.74,40.64,18.77,Ontario
2020-04-01,46.25,46.54,18.43,Ontario
2020-04-02,46.29,46.32,17.86,Ontario
2020-04-03,49.13,42.88,17.36,Ontario
2020-04-04,41.73,41.87,15.82,Ontario
2020-04-05,33.69,37.53,15.15,Ontario
2020-04-06,43.97,44.8,16.86,Ontario
2020-04-07,44.45,40.96,15.85,Ontario
2020-04-08,47.46,45.63,15.92,Ontario
2020-04-09,51.87,42.31,15.87,Ontario
2020-04-10,38.62,33.93,13.64,Ontario
2020-04-11,45.44,41.1,15.06,Ontario
2020-04-12,31.05,33.64,12.88,Ontario
2020-04-13,40.88,32.7,15.9,Ontario
2020-04-14,48.67,41.23,16.7,Ontario
2020-04-15,49.74,40.03,16.33,Ontario
2020-04-16,50.37,39.29,15.73,Ontario
2020-04-17,55.16,43.93,16.4,Ontario
2020-04-18,50.32,45.97,15.76,Ontario
2020-04-19,39.13,34.78,14.63,Ontario
2020-04-20,52.63,46.5,18.62,Ontario
2020-04-21,51.03,37.81,16.43,Ontario
2020-04-22,54.29,43.76,17.02,Ontario
2020-04-23,55.15,44.45,16.98,Ontario
2020-04-24,61.88,48.78,17.85,Ontario
2020-04-25,57.42,55.66,17.14,Ontario
2020-04-26,42.87,35.7,15.64,Ontario
2020-04-27,57.34,54.19,19.19,Ontario
2020-04-28,58.4,50.28,18.9,Ontario
2020-04-29,58.09,46.24,18.14,Ontario
2020-04-30,60.73,48.97,19.46,Ontario
2020-05-01,71.55,62.58,20.61,Ontario
2020-05-02,61.45,55.65,19.39,Ontario
2020-05-03,56.35,63.91,20.78,Ontario
2020-05-04,64.15,55.7,22.24,Ontario
2020-05-05,67.22,58.31,22.24,Ontario
2020-05-06,69.54,61.58,21.84,Ontario
2020-05-07,68.34,54.54,20.84,Ontario
2020-05-08,75.03,56.67,20.97,Ontario
2020-05-09,66.82,48.33,19.19,Ontario
2020-05-10,55.2,44.26,17.93,Ontario
2020-05-13,76.17,67.63,23.0,Ontario
2020-05-14,73.01,56.91,20.47,Ontario
2020-05-15,82.84,63.41,22.12,Ontario
2020-05-16,82.79,79.47,23.1,Ontario
2020-05-17,61.93,56.51,19.65,Ontario
2020-05-18,58.34,48.91,20.13,Ontario
2020-05-19,83.35,72.57,25.83,Ontario
2020-05-20,91.97,85.23,26.44,Ontario
2020-05-21,93.31,86.42,26.7,Ontario
2020-05-22,103.08,91.28,27.61,Ontario
2020-05-23,94.16,90.38,26.72,Ontario
2020-05-24,75.82,73.33,24.96,Ontario
2020-05-25,92.89,83.82,29.01,Ontario
2020-05-26,94.64,85.7,29.06,Ontario
2020-05-27,95.77,85.47,29.13,Ontario
2020-05-28,91.32,70.96,26.18,Ontario
2020-05-29,101.24,80.55,27.95,Ontario
2020-05-30,98.57,86.97,28.7,Ontario
2020-05-31,82.38,73.27,26.91,Ontario
2020-06-01,95.64,88.17,31.71,Ontario
2020-06-02,94.29,82.74,29.24,Ontario
2020-06-03,96.98,87.21,30.82,Ontario
2020-06-04,105.98,94.63,32.45,Ontario
2020-06-05,114.57,96.48,32.3,Ontario
2020-06-06,105.95,96.23,31.4,Ontario
2020-06-07,89.85,84.04,29.59,Ontario
2020-06-08,102.4,92.5,34.28,Ontario
2020-06-09,106.62,92.67,34.35,Ontario
2020-06-10,103.98,85.32,33.2,Ontario
2020-06-11,111.5,93.83,33.49,Ontario
2020-06-12,124.86,101.22,35.53,Ontario
2020-06-13,115.25,104.34,33.79,Ontario
2020-06-14,98.75,85.99,32.05,Ontario
2020-06-15,109.85,96.58,37.21,Ontario
2020-06-16,115.31,101.66,36.36,Ontario
2020-06-17,117.73,102.31,36.69,Ontario
2020-06-18,122.03,102.85,38.33,Ontario
2020-06-19,136.38,109.94,40.61,Ontario
2020-06-20,127.21,106.79,39.25,Ontario
2020-06-21,98.78,77.37,34.1,Ontario
2020-06-22,113.82,94.77,41.22,Ontario
2020-06-23,113.5,91.61,39.21,Ontario
2020-06-24,124.24,106.25,41.88,Ontario
2020-06-25,128.12,108.41,42.97,Ontario
2020-06-26,146.11,121.54,44.22,Ontario
2020-06-27,123.54,107.27,40.14,Ontario
2020-06-28,114.35,96.13,39.0,Ontario
2020-06-29,127.42,110.08,44.82,Ontario
2020-06-30,141.0,120.46,44.93,Ontario
