date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,walking,transit,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,ratetotal,ratetested
2020-03-11,0,2,0,British Columbia,13.89,5.049999999999997,20.010000000000005,-19.370000000000005,3.0,8.0,53.0,-3.0,0.0,1.0,39,1.0,38.0,0,0.77,862.0
2020-03-12,1,3,0,British Columbia,22.22,1.0499999999999972,13.480000000000004,-24.629999999999995,2.0,18.0,37.0,-8.0,0.0,2.0,46,1.0,45.0,7,0.91,1024.0
2020-03-13,2,4,0,British Columbia,22.22,4.6299999999999955,17.47,-22.599999999999994,0.0,27.0,10.0,-14.0,-2.0,2.0,53,1.0,52.0,7,1.05,1024.0
2020-03-14,3,5,0,British Columbia,24.07,-6.700000000000003,16.099999999999994,-28.590000000000003,-7.0,21.0,9.0,-17.0,-4.0,4.0,64,1.0,63.0,11,1.26,1387.0
2020-03-15,4,6,0,British Columbia,24.07,-22.86,-9.11,-40.97,-6.0,15.0,58.0,-15.0,-8.0,3.0,73,1.0,72.0,9,1.44,1387.0
2020-03-16,5,0,0,British Columbia,43.52,-18.819999999999993,-10.299999999999997,-45.49,-6.0,34.0,55.0,-27.0,-24.0,8.0,73,4.0,69.0,0,1.44,1957.0
2020-03-17,6,1,0,British Columbia,43.52,-26.17,-19.379999999999995,-56.14,-16.0,27.0,80.0,-34.0,-31.0,12.0,103,7.0,96.0,30,2.03,2290.0
2020-03-18,7,2,0,British Columbia,61.11,-29.89,-25.989999999999995,-62.39,-27.0,17.0,87.0,-39.0,-39.0,14.0,186,7.0,179.0,83,3.67,2640.0
2020-03-19,8,3,0,British Columbia,61.11,-32.760000000000005,-30.930000000000007,-67.47,-34.0,6.0,81.0,-45.0,-43.0,16.0,271,8.0,263.0,85,5.34,3230.0
2020-03-20,9,4,0,British Columbia,71.3,-29.739999999999995,-29.769999999999996,-68.33,-38.0,1.0,77.0,-45.0,-44.0,16.0,271,9.0,262.0,0,5.34,3706.0
2020-03-21,10,5,0,British Columbia,71.3,-40.25,-37.67,-72.28,-48.0,-9.0,50.0,-46.0,-37.0,12.0,424,10.0,414.0,153,8.36,4026.0
2020-03-22,11,6,0,British Columbia,71.3,-56.89,-57.06,-78.89,-53.0,-21.0,8.0,-53.0,-41.0,12.0,424,10.0,414.0,0,8.36,4365.0
2020-03-23,12,0,0,British Columbia,72.69,-49.31,-53.3,-78.22,-48.0,-16.0,-4.0,-58.0,-52.0,20.0,472,13.0,459.0,48,9.31,4626.0
2020-03-24,13,1,0,British Columbia,72.69,-50.3,-51.55,-80.1,-50.0,-17.0,16.0,-61.0,-54.0,22.0,617,13.0,604.0,145,12.17,5187.0
2020-03-25,14,2,0,British Columbia,72.69,-47.19,-49.22,-79.68,-49.0,-16.0,40.0,-58.0,-56.0,21.0,659,14.0,645.0,42,12.99,5589.0
2020-03-26,15,3,0,British Columbia,72.69,-51.25,-56.46,-81.0,-54.0,-22.0,-18.0,-64.0,-57.0,23.0,725,14.0,525.0,66,14.3,5963.0
2020-03-27,16,4,0,British Columbia,72.69,-46.3,-54.47,-81.18,-53.0,-22.0,-21.0,-64.0,-56.0,23.0,725,14.0,525.0,0,14.3,6218.0
2020-03-28,17,5,0,British Columbia,72.69,-54.85,-62.25,-82.06,-60.0,-28.0,-37.0,-65.0,-48.0,17.0,884,16.0,472.0,159,17.43,6218.0
2020-03-29,18,6,0,British Columbia,72.69,-56.86,-55.87,-82.15,-54.0,-28.0,27.0,-59.0,-47.0,13.0,884,17.0,471.0,0,17.43,6601.0
2020-03-30,19,0,0,British Columbia,72.69,-51.44,-57.18,-80.5,-51.0,-25.0,-11.0,-64.0,-56.0,21.0,960,19.0,472.0,76,18.93,6895.0
2020-03-31,20,1,0,British Columbia,72.69,-47.69,-51.4,-79.86,-48.0,-20.0,28.0,-62.0,-56.0,22.0,970,19.0,444.0,10,19.13,7103.0
2020-04-01,21,2,0,British Columbia,74.54,-47.22,-52.24,-80.73,-50.0,-22.0,23.0,-63.0,-57.0,22.0,1066,25.0,435.0,96,21.02,7170.0
2020-04-02,22,3,0,British Columbia,74.54,-48.9,-53.3,-81.4,-51.0,-22.0,14.0,-65.0,-57.0,23.0,1121,31.0,449.0,55,22.1,7289.0
2020-04-03,23,4,0,British Columbia,74.54,-42.94,-50.39,-80.71000000000001,-50.0,-21.0,5.0,-63.0,-55.0,22.0,1174,35.0,498.0,53,23.15,7873.0
2020-04-04,24,5,0,British Columbia,72.69,-49.64,-54.23,-82.09,-54.0,-24.0,-1.0,-62.0,-47.0,16.0,1203,38.0,460.0,29,23.72,8039.0
2020-04-05,25,6,0,British Columbia,72.69,-55.82,-57.68,-82.67,-53.0,-30.0,31.0,-61.0,-47.0,13.0,1203,38.0,461.0,0,23.72,8194.0
2020-04-06,26,0,0,British Columbia,72.69,-46.51,-46.44,-79.94,-47.0,-23.0,36.0,-61.0,-55.0,20.0,1266,39.0,444.0,63,24.96,8413.0
2020-04-07,27,1,0,British Columbia,72.69,-45.01,-46.71,-81.03999999999999,-46.0,-19.0,67.0,-60.0,-55.0,21.0,1291,43.0,465.0,25,25.46,8530.0
2020-04-08,28,2,0,British Columbia,72.69,-42.41,-44.07,-80.38,-46.0,-19.0,53.0,-59.0,-56.0,21.0,1336,48.0,450.0,45,26.34,8729.0
2020-04-09,29,3,0,British Columbia,72.69,-35.150000000000006,-39.47,-80.95,-39.0,-7.0,59.0,-59.0,-56.0,20.0,1370,50.0,462.0,34,27.01,8904.0
2020-04-10,30,4,1,British Columbia,72.69,-43.46,-45.55,-80.53999999999999,-52.0,-19.0,64.0,-67.0,-78.0,27.0,1410,55.0,476.0,40,27.8,9117.0
2020-04-11,31,5,0,British Columbia,72.69,-44.72,-44.71,-81.55,-51.0,-17.0,21.0,-58.0,-48.0,15.0,1445,58.0,482.0,35,28.49,9117.0
2020-04-12,32,6,0,British Columbia,72.69,-55.63,-54.07,-83.42,-57.0,-35.0,42.0,-60.0,-48.0,12.0,1445,58.0,482.0,0,28.49,9536.0
2020-04-13,33,0,0,British Columbia,72.69,-47.43,-47.45,-81.0,-49.0,-25.0,47.0,-65.0,-67.0,23.0,1490,69.0,495.0,45,29.38,9735.0
2020-04-14,34,1,0,British Columbia,72.69,-41.12,-43.29,-80.77,-44.0,-16.0,58.0,-60.0,-54.0,21.0,1517,72.0,503.0,27,29.91,9886.0
2020-04-15,35,2,0,British Columbia,72.69,-36.56,-39.45,-79.72,-43.0,-16.0,64.0,-58.0,-55.0,21.0,1561,75.0,531.0,44,30.78,9946.0
2020-04-16,36,3,0,British Columbia,72.69,-36.6,-37.41,-79.89,-43.0,-16.0,70.0,-59.0,-54.0,21.0,1561,75.0,531.0,0,30.78,10115.0
2020-04-17,37,4,0,British Columbia,72.69,-31.349999999999994,-38.98,-80.41,-45.0,-18.0,28.0,-59.0,-53.0,21.0,1575,77.0,543.0,14,31.06,10328.0
2020-04-18,38,5,0,British Columbia,72.69,-35.34,-37.76,-79.81,-49.0,-19.0,38.0,-53.0,-41.0,14.0,1618,78.0,574.0,43,31.9,10563.0
2020-04-19,39,6,0,British Columbia,72.69,-46.29,-49.76,-81.58,-49.0,-26.0,41.0,-56.0,-42.0,11.0,1618,78.0,574.0,0,31.9,10801.0
2020-04-20,40,0,0,British Columbia,72.69,-36.32,-38.64,-79.53999999999999,-44.0,-18.0,54.0,-58.0,-53.0,19.0,1699,86.0,574.0,81,33.5,10999.0
2020-04-21,41,1,0,British Columbia,72.69,-36.75,-43.27,-81.12,-44.0,-16.0,47.0,-60.0,-52.0,20.0,1724,87.0,596.0,25,33.99,11146.0
2020-04-22,42,2,0,British Columbia,72.69,-37.03,-47.52,-81.28,-47.0,-18.0,2.0,-61.0,-54.0,21.0,1795,90.0,626.0,71,35.4,11338.0
2020-04-23,43,3,0,British Columbia,72.69,-33.510000000000005,-39.73,-80.35,-45.0,-14.0,46.0,-58.0,-53.0,21.0,1824,94.0,638.0,29,35.97,11604.0
2020-04-24,44,4,0,British Columbia,72.69,-24.900000000000006,-36.4,-79.85,-46.0,-15.0,39.0,-57.0,-51.0,19.0,1853,98.0,641.0,29,36.54,11924.0
2020-04-25,45,5,0,British Columbia,72.69,-34.760000000000005,-40.94,-80.09,-50.0,-16.0,7.0,-56.0,-41.0,15.0,1948,100.0,711.0,95,38.41,12430.0
2020-04-26,46,6,0,British Columbia,72.69,-44.09,-50.02,-81.5,-49.0,-22.0,25.0,-57.0,-42.0,12.0,1948,100.0,711.0,0,38.41,12758.0
2020-04-27,47,0,0,British Columbia,72.69,-34.489999999999995,-40.03,-78.73,-44.0,-15.0,41.0,-58.0,-52.0,19.0,1998,103.0,705.0,50,39.4,13268.0
2020-04-28,48,1,0,British Columbia,72.69,-32.89,-41.99,-79.08,-44.0,-13.0,32.0,-59.0,-52.0,13.0,2053,105.0,717.0,55,40.48,13593.0
2020-04-29,49,2,0,British Columbia,72.69,-31.379999999999995,-40.13,-80.03999999999999,-46.0,-14.0,23.0,-58.0,-53.0,20.0,2087,109.0,673.0,34,41.15,14042.0
2020-04-30,50,3,0,British Columbia,72.69,-25.739999999999995,-31.760000000000005,-78.15,-43.0,-9.0,65.0,-56.0,-52.0,20.0,2112,111.0,679.0,25,41.65,14489.0
2020-05-01,51,4,0,British Columbia,72.69,-16.92,-23.75,-76.13,-42.0,-10.0,65.0,-54.0,-50.0,18.0,2145,112.0,676.0,33,42.3,14896.0
2020-05-02,52,5,0,British Columbia,72.69,-30.560000000000002,-41.23,-78.57,-50.0,-16.0,-15.0,-58.0,-41.0,15.0,2171,114.0,681.0,26,42.81,15362.0
2020-05-03,53,6,0,British Columbia,72.69,-37.42,-40.41,-78.39,-45.0,-16.0,43.0,-53.0,-38.0,11.0,2171,114.0,681.0,0,42.81,15984.0
2020-05-04,54,0,0,British Columbia,72.69,-28.72,-32.629999999999995,-76.45,-42.0,-12.0,42.0,-57.0,-50.0,18.0,2224,117.0,690.0,53,43.85,16339.0
2020-05-05,55,1,0,British Columbia,72.69,-23.64,-25.819999999999993,-76.52,-39.0,-6.0,115.0,-54.0,-49.0,18.0,2232,121.0,639.0,8,44.01,16620.0
2020-05-06,56,2,0,British Columbia,72.69,-24.629999999999995,-30.299999999999997,-76.88,-41.0,-8.0,57.0,-55.0,-51.0,19.0,2255,124.0,637.0,23,44.47,16921.0
2020-05-07,57,3,0,British Columbia,72.69,-17.560000000000002,-19.959999999999994,-75.06,-39.0,-4.0,103.0,-54.0,-50.0,18.0,2288,126.0,650.0,33,45.12,17309.0
2020-05-08,58,4,0,British Columbia,72.69,-6.040000000000006,-8.950000000000003,-71.95,-37.0,-1.0,118.0,-51.0,-48.0,16.0,2315,127.0,609.0,27,45.65,17700.0
2020-05-09,59,5,0,British Columbia,72.69,-10.719999999999999,-9.730000000000004,-73.25,-39.0,3.0,84.0,-45.0,-35.0,10.0,2330,129.0,542.0,15,45.94,18076.0
2020-05-10,60,6,0,British Columbia,72.69,-25.819999999999993,-28.08,-75.53999999999999,-34.0,-3.0,104.0,-44.0,-32.0,6.0,2330,129.0,542.0,0,45.94,18423.0
2020-05-13,63,2,0,British Columbia,70.83,-18.239999999999995,-24.060000000000002,-75.66,-40.0,-6.0,54.0,-55.0,-49.0,18.0,2376,132.0,385.0,16,46.85,19139.0
2020-05-14,64,3,0,British Columbia,70.83,-12.680000000000007,-19.099999999999994,-74.98,-39.0,-3.0,80.0,-54.0,-48.0,18.0,2392,135.0,372.0,16,47.17,19472.0
2020-05-15,65,4,0,British Columbia,70.83,6.530000000000001,2.3299999999999983,-71.39,-36.0,-1.0,118.0,-50.0,-48.0,15.0,2407,140.0,359.0,15,47.46,19776.0
2020-05-16,66,5,0,British Columbia,70.83,-15.459999999999994,-22.980000000000004,-76.42,-45.0,-10.0,1.0,-55.0,-37.0,12.0,2428,141.0,355.0,21,47.88,20091.0
2020-05-17,67,6,0,British Columbia,70.83,-22.370000000000005,-24.159999999999997,-76.07,-40.0,-11.0,64.0,-50.0,-34.0,9.0,2428,141.0,355.0,0,47.88,20315.0
2020-05-18,68,0,1,British Columbia,70.83,-13.329999999999998,-7.739999999999995,-70.0,-37.0,-4.0,185.0,-57.0,-76.0,20.0,2444,143.0,335.0,16,48.19,20720.0
2020-05-19,69,1,0,British Columbia,70.83,-6.659999999999997,-5.980000000000004,-69.55,-32.0,-1.0,116.0,-51.0,-45.0,16.0,2446,146.0,325.0,2,48.23,21064.0
2020-05-20,70,2,0,British Columbia,70.83,-7.560000000000002,-9.579999999999998,-70.53999999999999,-32.0,-1.0,52.0,-51.0,-46.0,17.0,2467,149.0,317.0,21,48.65,21129.0
2020-05-21,71,3,0,British Columbia,70.83,-7.159999999999997,-5.6299999999999955,-70.44,-33.0,0.0,61.0,-52.0,-45.0,18.0,2479,152.0,307.0,12,48.88,21359.0
2020-05-22,72,4,0,British Columbia,70.83,5.219999999999999,3.9399999999999977,-68.78,-32.0,-2.0,66.0,-50.0,-42.0,15.0,2507,155.0,310.0,28,49.43,21660.0
2020-05-23,73,5,0,British Columbia,70.83,-1.4200000000000017,-0.4300000000000068,-68.46000000000001,-34.0,-3.0,58.0,-44.0,-26.0,9.0,2517,157.0,303.0,10,49.63,21995.0
2020-05-24,74,6,0,British Columbia,70.83,-15.079999999999998,-15.920000000000002,-71.0,-33.0,-9.0,71.0,-44.0,-26.0,8.0,2517,157.0,303.0,0,49.63,22313.0
2020-05-25,75,0,0,British Columbia,70.83,-7.790000000000006,-12.420000000000002,-69.26,-32.0,-4.0,22.0,-54.0,-45.0,17.0,2530,161.0,267.0,13,49.89,22638.0
2020-05-26,76,1,0,British Columbia,70.83,-0.9899999999999949,3.1200000000000045,-65.35,-27.0,0.0,133.0,-48.0,-41.0,15.0,2541,161.0,258.0,11,50.11,22730.0
2020-05-27,77,2,0,British Columbia,70.83,3.280000000000001,6.909999999999997,-65.1,-25.0,4.0,137.0,-44.0,-42.0,14.0,2550,162.0,244.0,9,50.28,23024.0
2020-05-28,78,3,0,British Columbia,70.83,3.8400000000000034,7.950000000000003,-64.57,-26.0,4.0,121.0,-47.0,-41.0,15.0,2558,164.0,241.0,8,50.44,23303.0
2020-05-29,79,4,0,British Columbia,70.83,17.739999999999995,16.700000000000003,-62.19,-26.0,3.0,125.0,-45.0,-40.0,13.0,2562,164.0,228.0,4,50.52,23662.0
2020-05-30,80,5,0,British Columbia,70.83,-2.75,-6.219999999999999,-68.33,-35.0,-4.0,0.0,-47.0,-21.0,10.0,2573,164.0,228.0,11,50.74,23973.0
2020-05-31,81,6,0,British Columbia,70.83,-14.450000000000003,-12.099999999999994,-67.36,-29.0,-4.0,50.0,-40.0,-19.0,7.0,2573,164.0,228.0,0,50.74,24312.0
2020-06-01,82,0,0,British Columbia,70.83,0.769999999999996,7.560000000000002,-64.5,-23.0,3.0,100.0,-45.0,-39.0,13.0,2597,165.0,225.0,24,51.21,24409.0
2020-06-02,83,1,0,British Columbia,70.83,-3.969999999999999,-5.209999999999994,-68.61,-27.0,0.0,51.0,-51.0,-39.0,15.0,2601,165.0,207.0,4,51.29,24731.0
2020-06-03,84,2,0,British Columbia,70.83,2.75,5.819999999999993,-65.05,-25.0,1.0,103.0,-46.0,-40.0,14.0,2623,166.0,214.0,22,51.72,24982.0
2020-06-04,85,3,0,British Columbia,70.83,5.549999999999997,5.030000000000001,-65.09,-25.0,2.0,92.0,-47.0,-39.0,14.0,2632,166.0,201.0,9,51.9,25307.0
2020-06-05,86,4,0,British Columbia,70.83,21.090000000000003,28.349999999999994,-60.07,-23.0,1.0,114.0,-43.0,-37.0,12.0,2632,167.0,193.0,0,51.9,25655.0
2020-06-06,87,5,0,British Columbia,70.83,9.540000000000006,17.909999999999997,-64.82,-26.0,1.0,71.0,-40.0,-18.0,8.0,2632,167.0,193.0,0,51.9,25974.0
2020-06-07,88,6,0,British Columbia,70.83,-0.5,5.890000000000001,-64.56,-23.0,-4.0,122.0,-35.0,-18.0,5.0,2632,167.0,193.0,0,51.9,26184.0
