date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,transit,walking,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,ratetotal,ratetested
2020-03-11,0,2,0,Canada,13.89,3.9399999999999977,-10.219999999999999,10.670000000000002,3.0,7.0,12.0,-3.0,2.0,1.0,103,2.0,101.0,26,0.27,293.0
2020-03-12,1,3,0,Canada,22.22,0.21999999999999886,-16.650000000000006,6.319999999999993,7.0,27.0,11.0,-6.0,2.0,1.0,141,2.0,139.0,38,0.38,404.0
2020-03-13,2,4,0,Canada,22.22,1.2399999999999949,-23.599999999999994,4.319999999999993,-5.0,35.0,-16.0,-17.0,-6.0,5.0,179,2.0,177.0,38,0.48,404.0
2020-03-14,3,5,0,Canada,24.07,-12.840000000000003,-36.25,3.0,-11.0,19.0,-8.0,-19.0,-1.0,5.0,199,2.0,197.0,20,0.53,596.0
2020-03-15,4,6,0,Canada,24.07,-31.83,-48.81,-26.180000000000007,-12.0,11.0,28.0,-22.0,-5.0,4.0,253,2.0,251.0,54,0.67,664.0
2020-03-16,5,0,0,Canada,43.52,-25.900000000000006,-50.0,-24.299999999999997,-12.0,23.0,15.0,-37.0,-27.0,10.0,341,5.0,336.0,88,0.91,1004.0
2020-03-17,6,1,0,Canada,43.52,-32.790000000000006,-59.74,-34.31999999999999,-27.0,13.0,7.0,-45.0,-35.0,14.0,440,8.0,432.0,99,1.17,1175.0
2020-03-18,7,2,0,Canada,61.11,-36.09,-64.41,-37.56,-33.0,7.0,14.0,-48.0,-40.0,16.0,597,9.0,588.0,157,1.59,1425.0
2020-03-19,8,3,0,Canada,61.11,-37.84,-68.47,-39.84,-36.0,4.0,18.0,-52.0,-43.0,17.0,873,12.0,861.0,276,2.32,1752.0
2020-03-20,9,4,0,Canada,71.3,-36.07,-69.7,-40.89,-44.0,-5.0,-8.0,-54.0,-45.0,20.0,1004,13.0,991.0,131,2.67,2044.0
2020-03-21,10,5,0,Canada,71.3,-46.55,-73.52,-46.89,-49.0,-12.0,11.0,-49.0,-32.0,13.0,1371,18.0,1353.0,367,3.65,2365.0
2020-03-22,11,6,0,Canada,71.3,-58.27,-77.74,-56.46,-51.0,-21.0,4.0,-54.0,-35.0,11.0,1471,20.0,1451.0,100,3.91,2629.0
2020-03-23,12,0,0,Canada,72.69,-50.58,-76.42,-54.36,-45.0,-13.0,-27.0,-63.0,-51.0,20.0,2091,24.0,2067.0,620,5.56,2850.0
2020-03-24,13,1,0,Canada,72.69,-51.34,-78.32,-51.56,-49.0,-15.0,-10.0,-64.0,-55.0,22.0,2792,27.0,2765.0,701,7.43,3327.0
2020-03-25,14,2,0,Canada,72.69,-52.43,-79.19,-50.79,-53.0,-21.0,1.0,-65.0,-59.0,23.0,3409,35.0,3374.0,617,9.07,3932.0
2020-03-26,15,3,0,Canada,72.69,-53.06,-80.36,-53.54,-54.0,-21.0,-18.0,-68.0,-59.0,25.0,4043,39.0,3774.0,634,10.76,4299.0
2020-03-27,16,4,0,Canada,72.69,-47.37,-79.84,-46.43,-55.0,-21.0,-10.0,-66.0,-59.0,26.0,4689,53.0,4380.0,646,12.47,4540.0
2020-03-28,17,5,0,Canada,72.69,-56.92,-81.91,-56.93,-59.0,-27.0,-30.0,-64.0,-44.0,17.0,5425,59.0,4864.0,736,14.43,4987.0
2020-03-29,18,6,0,Canada,72.69,-63.31,-82.75,-61.62,-59.0,-35.0,-16.0,-66.0,-44.0,14.0,6258,61.0,5675.0,833,16.65,5598.0
2020-03-30,19,0,0,Canada,72.69,-54.99,-80.42,-57.64,-54.0,-27.0,-32.0,-70.0,-60.0,23.0,7437,89.0,6280.0,1179,19.78,6005.0
2020-03-31,20,1,0,Canada,72.69,-52.85,-79.95,-52.16,-51.0,-19.0,-13.0,-68.0,-60.0,23.0,8548,96.0,7198.0,1111,22.74,6415.0
2020-04-01,21,2,0,Canada,74.54,-51.9,-80.46000000000001,-51.0,-52.0,-21.0,-10.0,-68.0,-61.0,24.0,9613,109.0,7951.0,1065,25.57,6835.0
2020-04-02,22,3,0,Canada,74.54,-52.83,-81.23,-52.91,-53.0,-23.0,-16.0,-70.0,-61.0,25.0,11283,138.0,9162.0,1670,30.02,7280.0
2020-04-03,23,4,0,Canada,74.54,-48.29,-81.12,-51.32,-55.0,-23.0,-33.0,-69.0,-60.0,27.0,12537,187.0,12350.0,1254,33.35,7850.0
2020-04-04,24,5,0,Canada,72.69,-55.5,-82.67,-51.65,-57.0,-25.0,-17.0,-63.0,-45.0,17.0,13904,231.0,13673.0,1367,36.99,8299.0
2020-04-05,25,6,0,Canada,72.69,-63.9,-83.68,-60.11,-63.0,-45.0,-13.0,-67.0,-46.0,14.0,15512,280.0,12897.0,1608,41.27,8641.0
2020-04-06,26,0,0,Canada,72.69,-52.94,-81.16,-48.52,-51.0,-21.0,2.0,-68.0,-60.0,23.0,16667,323.0,12728.0,1155,44.34,8960.0
2020-04-07,27,1,0,Canada,72.69,-51.9,-82.1,-49.66,-52.0,-18.0,-1.0,-68.0,-61.0,24.0,17897,380.0,17517.0,1230,47.61,9261.0
2020-04-08,28,2,0,Canada,72.69,-49.19,-81.9,-46.94,-51.0,-17.0,-3.0,-67.0,-61.0,24.0,19289,435.0,18854.0,1392,51.32,9630.0
2020-04-09,29,3,0,Canada,72.69,-43.69,-82.26,-47.23,-44.0,-3.0,-15.0,-68.0,-62.0,24.0,20765,509.0,20256.0,1476,55.24,9984.0
2020-04-10,30,4,1,Canada,72.69,-54.52,-83.55,-54.64,-70.0,-43.0,-24.0,-77.0,-81.0,33.0,22148,569.0,21579.0,1383,58.92,10412.0
2020-04-11,31,5,0,Canada,72.69,-52.21,-83.22,-51.57,-54.0,-15.0,-22.0,-63.0,-47.0,17.0,23318,653.0,22665.0,1170,62.03,10765.0
