date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,walking,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,ratetotal,ratetested
2020-03-12,1,3,0,New Brunswick,22.22,12.560000000000002,12.64,11.0,20.0,16.0,1.0,0.0,0.0,1,0.0,1.0,1,0.13,57.0
2020-03-13,2,4,0,New Brunswick,22.22,9.849999999999994,5.670000000000002,-8.0,28.0,-31.0,-12.0,-5.0,6.0,1,0.0,1.0,0,0.13,57.0
2020-03-14,3,5,0,New Brunswick,24.07,9.11,15.64,-14.0,12.0,-21.0,-5.0,-3.0,4.0,2,0.0,2.0,1,0.26,106.0
2020-03-15,4,6,0,New Brunswick,24.07,-10.569999999999993,-16.799999999999997,2.0,18.0,92.0,0.0,1.0,1.0,2,0.0,2.0,0,0.26,106.0
2020-03-16,5,0,0,New Brunswick,43.52,-4.980000000000004,-0.6099999999999994,-6.0,17.0,-2.0,-18.0,-21.0,8.0,6,0.0,6.0,4,0.77,184.0
2020-03-17,6,1,0,New Brunswick,43.52,-12.810000000000002,-18.78,-27.0,6.0,-14.0,-26.0,-34.0,12.0,7,0.0,7.0,1,0.9,380.0
2020-03-18,7,2,0,New Brunswick,61.11,-13.469999999999999,-6.010000000000005,-32.0,-1.0,13.0,-30.0,-40.0,14.0,8,0.0,8.0,1,1.03,525.0
2020-03-19,8,3,0,New Brunswick,61.11,-21.14,-22.060000000000002,-31.0,5.0,13.0,-34.0,-43.0,16.0,11,0.0,11.0,3,1.42,678.0
2020-03-20,9,4,0,New Brunswick,71.3,-24.959999999999994,-32.379999999999995,-48.0,-14.0,-36.0,-44.0,-48.0,21.0,11,0.0,11.0,0,1.42,824.0
2020-03-21,10,5,0,New Brunswick,71.3,-26.11,-25.61,-55.0,-27.0,0.0,-38.0,-36.0,13.0,17,0.0,17.0,6,2.19,1114.0
2020-03-22,11,6,0,New Brunswick,71.3,-38.47,-46.99,-47.0,-22.0,48.0,-39.0,-31.0,7.0,17,0.0,17.0,0,2.19,1189.0
2020-03-23,12,0,0,New Brunswick,72.69,-34.400000000000006,-30.189999999999998,-47.0,-26.0,-4.0,-52.0,-51.0,18.0,17,0.0,17.0,0,2.19,1466.0
2020-03-24,13,1,0,New Brunswick,72.69,-43.87,-44.13,-54.0,-29.0,-35.0,-54.0,-55.0,21.0,18,0.0,18.0,1,2.32,1623.0
2020-03-25,14,2,0,New Brunswick,72.69,-33.760000000000005,-25.480000000000004,-48.0,-21.0,10.0,-50.0,-54.0,19.0,26,0.0,26.0,8,3.35,2163.0
2020-03-26,15,3,0,New Brunswick,72.69,-36.46,-28.760000000000005,-49.0,-20.0,-12.0,-54.0,-55.0,21.0,33,0.0,33.0,7,4.25,2380.0
2020-03-27,16,4,0,New Brunswick,72.69,-35.629999999999995,-37.09,-52.0,-22.0,-38.0,-60.0,-55.0,24.0,45,0.0,44.0,12,5.79,2805.0
2020-03-28,17,5,0,New Brunswick,72.69,-28.629999999999995,-5.739999999999995,-54.0,-30.0,21.0,-41.0,-40.0,13.0,51,0.0,49.0,6,6.57,3234.0
2020-03-29,18,6,0,New Brunswick,72.69,-40.26,-35.31,-42.0,-20.0,101.0,-47.0,-35.0,8.0,66,0.0,64.0,15,8.5,3665.0
2020-03-30,19,0,0,New Brunswick,72.69,-43.22,-38.39,-49.0,-31.0,-24.0,-58.0,-55.0,20.0,68,0.0,66.0,2,8.75,4206.0
2020-03-31,20,1,0,New Brunswick,72.69,-42.37,-33.129999999999995,-50.0,-27.0,-23.0,-60.0,-56.0,20.0,70,0.0,61.0,2,9.01,4673.0
2020-04-01,21,2,0,New Brunswick,74.54,-42.93,-36.89,-52.0,-29.0,-42.0,-61.0,-57.0,22.0,81,0.0,67.0,11,10.43,5305.0
2020-04-02,22,3,0,New Brunswick,74.54,-43.02,-41.73,-51.0,-28.0,-43.0,-61.0,-57.0,23.0,91,0.0,69.0,10,11.71,5954.0
2020-04-03,23,4,0,New Brunswick,74.54,-34.370000000000005,-32.239999999999995,-50.0,-23.0,-42.0,-60.0,-56.0,25.0,95,0.0,95.0,4,12.23,6483.0
2020-04-04,24,5,0,New Brunswick,72.69,-38.75,-38.93,-54.0,-32.0,-27.0,-55.0,-42.0,15.0,98,0.0,98.0,3,12.62,6819.0
2020-04-05,25,6,0,New Brunswick,72.69,-43.38,-33.2,-43.0,-23.0,78.0,-53.0,-37.0,8.0,101,0.0,73.0,3,13.0,6978.0
2020-04-06,26,0,0,New Brunswick,72.69,-39.35,-18.17,-44.0,-30.0,-3.0,-58.0,-56.0,20.0,103,0.0,73.0,2,13.26,7309.0
2020-04-07,27,1,0,New Brunswick,72.69,-35.239999999999995,-28.760000000000005,-46.0,-24.0,-12.0,-57.0,-57.0,20.0,105,0.0,105.0,2,13.52,7855.0
2020-04-08,28,2,0,New Brunswick,72.69,-33.040000000000006,-17.900000000000006,-42.0,-16.0,-7.0,-54.0,-57.0,20.0,108,0.0,108.0,3,13.9,8338.0
2020-04-09,29,3,0,New Brunswick,72.69,-28.78,-14.280000000000001,-30.0,4.0,-16.0,-54.0,-57.0,20.0,111,0.0,111.0,3,14.29,8945.0
2020-04-10,30,4,1,New Brunswick,72.69,-54.34,-47.27,-85.0,-79.0,-62.0,-81.0,-83.0,35.0,112,0.0,112.0,1,14.42,9396.0
2020-04-11,31,5,0,New Brunswick,72.69,-36.1,-28.689999999999998,-48.0,-15.0,-40.0,-57.0,-41.0,15.0,112,0.0,112.0,0,14.42,9655.0
2020-04-12,32,6,0,New Brunswick,72.69,-51.84,-32.72,-68.0,-64.0,70.0,-54.0,-45.0,10.0,114,0.0,114.0,2,14.68,9989.0
2020-04-13,33,0,0,New Brunswick,72.69,-45.15,-49.8,-49.0,-36.0,-39.0,-66.0,-64.0,23.0,116,0.0,116.0,2,14.93,10303.0
2020-04-14,34,1,0,New Brunswick,72.69,-29.939999999999998,-0.480000000000004,-40.0,-21.0,15.0,-52.0,-56.0,20.0,116,0.0,116.0,0,14.93,10593.0
2020-04-15,35,2,0,New Brunswick,72.69,-26.349999999999994,-15.299999999999997,-38.0,-19.0,-1.0,-55.0,-56.0,20.0,117,0.0,117.0,1,15.06,11166.0
2020-04-16,36,3,0,New Brunswick,72.69,-25.569999999999993,-15.159999999999997,-39.0,-21.0,-10.0,-54.0,-56.0,22.0,117,0.0,117.0,0,15.06,11515.0
2020-04-17,37,4,0,New Brunswick,72.69,-18.939999999999998,-15.230000000000004,-43.0,-24.0,-24.0,-59.0,-55.0,24.0,117,0.0,117.0,0,15.06,12466.0
2020-04-19,39,6,0,New Brunswick,72.69,-24.959999999999994,-27.25,-34.0,-19.0,107.0,-43.0,-33.0,7.0,118,0.0,26.0,0,15.19,13246.0
2020-04-20,40,0,0,New Brunswick,72.69,-25.569999999999993,-7.450000000000003,-34.0,-25.0,1.0,-53.0,-53.0,19.0,118,0.0,20.0,0,15.19,13506.0
