date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,walking,transit,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,ratetotal,ratetested
2020-03-11,0,2,0,Ontario,13.89,1.2999999999999972,0.6400000000000006,-11.86,3.0,7.0,1.0,-5.0,2.0,1.0,42,1.0,41.0,8,0.29,233.0
2020-03-12,1,3,0,Ontario,22.22,-1.3900000000000006,-3.3499999999999943,-17.92,6.0,32.0,9.0,-6.0,1.0,1.0,59,1.0,58.0,17,0.41,287.0
2020-03-13,2,4,0,Ontario,22.22,1.3599999999999994,-4.290000000000006,-25.879999999999995,-3.0,41.0,-7.0,-16.0,-4.0,3.0,79,1.0,78.0,20,0.54,287.0
2020-03-14,3,5,0,Ontario,24.07,-13.64,-3.0999999999999943,-40.9,-10.0,26.0,5.0,-17.0,0.0,3.0,79,1.0,78.0,0,0.54,456.0
2020-03-15,4,6,0,Ontario,24.07,-33.41,-32.599999999999994,-52.63,-10.0,14.0,44.0,-22.0,-6.0,4.0,103,1.0,102.0,24,0.71,581.0
2020-03-16,5,0,0,Ontario,43.52,-28.290000000000006,-34.230000000000004,-53.9,-12.0,27.0,10.0,-39.0,-31.0,11.0,145,1.0,144.0,42,1.0,699.0
2020-03-17,6,1,0,Ontario,43.52,-35.95,-43.12,-63.46,-29.0,15.0,2.0,-46.0,-39.0,15.0,177,1.0,176.0,32,1.22,767.0
2020-03-18,7,2,0,Ontario,61.11,-39.96,-48.19,-67.99000000000001,-36.0,1.0,1.0,-51.0,-44.0,17.0,189,1.0,188.0,12,1.3,952.0
2020-03-19,8,3,0,Ontario,61.11,-41.69,-48.54,-71.01,-38.0,2.0,11.0,-54.0,-47.0,19.0,258,2.0,256.0,69,1.77,1269.0
2020-03-20,9,4,0,Ontario,71.3,-40.91,-50.48,-72.21000000000001,-45.0,-8.0,-15.0,-56.0,-49.0,21.0,311,2.0,309.0,53,2.14,1476.0
2020-03-21,10,5,0,Ontario,71.3,-49.67,-54.74,-75.43,-48.0,-12.0,16.0,-49.0,-34.0,13.0,377,3.0,374.0,66,2.59,1749.0
2020-03-22,11,6,0,Ontario,71.3,-60.44,-61.46,-79.11,-51.0,-22.0,6.0,-55.0,-38.0,12.0,425,5.0,420.0,48,2.92,1961.0
2020-03-23,12,0,0,Ontario,72.69,-55.35,-63.98,-77.69,-47.0,-13.0,-39.0,-66.0,-55.0,22.0,503,6.0,497.0,78,3.45,2107.0
2020-03-24,13,1,0,Ontario,72.69,-53.34,-57.76,-79.02,-48.0,-12.0,-6.0,-64.0,-57.0,22.0,588,8.0,580.0,85,4.04,2384.0
2020-03-25,14,2,0,Ontario,72.69,-56.06,-57.77,-80.6,-54.0,-23.0,5.0,-67.0,-61.0,25.0,688,13.0,675.0,100,4.72,2611.0
2020-03-26,15,3,0,Ontario,72.69,-56.36,-59.47,-81.53,-55.0,-22.0,-10.0,-68.0,-61.0,26.0,858,15.0,835.0,170,5.89,2830.0
