date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,walking,transit,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,numtested,ratetotal,ratetested
2020-03-11,0,2,0,Manitoba,13.89,8.409999999999997,7.019999999999996,-2.75,7.0,8.0,9.0,-3.0,4.0,0.0,15,0.0,15.0,8,2739.0,1.1,2000.0
2020-03-12,1,3,0,Manitoba,22.22,7.099999999999994,6.420000000000002,-5.189999999999998,12.0,33.0,5.0,-6.0,5.0,0.0,17,0.0,17.0,2,3189.0,1.24,2329.0
2020-03-13,2,4,0,Manitoba,22.22,12.86,9.280000000000001,-13.170000000000002,4.0,41.0,-14.0,-12.0,-5.0,3.0,17,0.0,17.0,0,3367.0,1.24,2459.0
2020-03-14,3,5,0,Manitoba,24.07,-4.950000000000003,-4.900000000000006,-34.730000000000004,-7.0,23.0,-23.0,-12.0,1.0,4.0,19,0.0,19.0,2,3668.0,1.39,2678.0
2020-03-15,4,6,0,Manitoba,24.07,-33.39,-40.34,-48.62,-18.0,3.0,-20.0,-22.0,-7.0,4.0,19,0.0,19.0,0,3936.0,1.39,2874.0
2020-03-16,5,0,0,Manitoba,43.52,-25.060000000000002,-25.200000000000003,-36.32,-11.0,18.0,-19.0,-29.0,-11.0,7.0,20,0.0,20.0,1,4133.0,1.46,3018.0
2020-03-17,6,1,0,Manitoba,43.52,-25.099999999999994,-31.159999999999997,-46.25,-19.0,19.0,-16.0,-31.0,-17.0,10.0,21,0.0,21.0,1,4406.0,1.53,3217.0
2020-03-18,7,2,0,Manitoba,61.11,-29.58,-33.5,-47.61,-25.0,13.0,-28.0,-41.0,-23.0,12.0,35,0.0,35.0,14,4740.0,2.56,3461.0
2020-03-19,8,3,0,Manitoba,61.11,-28.769999999999996,-31.14,-57.31,-29.0,12.0,-27.0,-48.0,-27.0,14.0,36,0.0,35.0,1,5429.0,2.63,3964.0
2020-03-20,9,4,0,Manitoba,71.3,-19.060000000000002,-27.480000000000004,-56.82,-31.0,8.0,-31.0,-46.0,-31.0,15.0,39,1.0,37.0,3,6022.0,2.85,4397.0
2020-03-21,10,5,0,Manitoba,71.3,-37.2,-36.33,-66.12,-45.0,-9.0,-25.0,-41.0,-24.0,12.0,64,1.0,62.0,25,6931.0,4.67,5061.0
2020-03-22,11,6,0,Manitoba,71.3,-51.43,-54.86,-72.45,-51.0,-21.0,-16.0,-50.0,-32.0,10.0,72,1.0,70.0,8,7876.0,5.26,5751.0
2020-03-23,12,0,0,Manitoba,72.69,-39.31,-33.989999999999995,-68.68,-41.0,-11.0,-3.0,-54.0,-40.0,17.0,96,1.0,93.0,24,8326.0,7.01,6080.0
2020-03-24,13,1,0,Manitoba,72.69,-40.67,-45.08,-72.05,-45.0,-11.0,-32.0,-57.0,-42.0,19.0,103,1.0,98.0,7,8629.0,7.52,6301.0
2020-03-25,14,2,0,Manitoba,72.69,-39.51,-35.69,-67.68,-45.0,-14.0,-19.0,-57.0,-43.0,19.0,127,1.0,122.0,24,9811.0,9.27,7164.0
2020-03-26,15,3,0,Manitoba,72.69,-38.46,-41.0,-72.64,-43.0,-7.0,-18.0,-60.0,-43.0,20.0,167,1.0,155.0,40,11098.0,12.19,8104.0
2020-03-27,16,4,0,Manitoba,72.69,-27.22,-22.700000000000003,-66.96000000000001,-40.0,-5.0,-14.0,-57.0,-44.0,20.0,182,2.0,180.0,15,11650.0,13.29,8507.0
2020-03-28,17,5,0,Manitoba,72.69,-37.24,-32.22,-72.66,-46.0,-13.0,-9.0,-50.0,-33.0,13.0,194,2.0,192.0,12,12191.0,14.17,8902.0
2020-03-29,18,6,0,Manitoba,72.69,-49.87,-45.27,-74.78,-49.0,-21.0,-9.0,-56.0,-36.0,11.0,203,2.0,184.0,9,12771.0,14.82,9326.0
2020-03-30,19,0,0,Manitoba,72.69,-35.370000000000005,-24.560000000000002,-73.8,-38.0,-12.0,4.0,-57.0,-47.0,18.0,204,2.0,185.0,1,13788.0,14.9,10068.0
2020-03-31,20,1,0,Manitoba,72.69,-32.650000000000006,-28.769999999999996,-72.62,-36.0,-4.0,2.0,-58.0,-47.0,19.0,217,3.0,214.0,13,13990.0,15.85,10216.0
2020-04-01,21,2,0,Manitoba,74.54,-36.68,-37.25,-74.23,-46.0,-14.0,-24.0,-62.0,-49.0,20.0,221,3.0,218.0,4,14569.0,16.14,10638.0
2020-04-02,22,3,0,Manitoba,74.54,-49.65,-53.7,-77.03999999999999,-59.0,-28.0,-55.0,-68.0,-52.0,24.0,224,3.0,221.0,3,14569.0,16.36,10638.0
2020-04-03,23,4,0,Manitoba,74.54,-41.28,-44.15,-73.66,-55.0,-24.0,-60.0,-65.0,-54.0,25.0,230,4.0,226.0,6,16075.0,16.79,11738.0
2020-04-04,24,5,0,Manitoba,72.69,-43.72,-46.96,-73.99,-54.0,-23.0,-52.0,-57.0,-37.0,16.0,243,4.0,239.0,13,16220.0,17.74,11844.0
2020-04-05,25,6,0,Manitoba,72.69,-54.64,-53.04,-77.93,-54.0,-29.0,-30.0,-61.0,-40.0,12.0,242,4.0,238.0,-1,17066.0,17.67,12462.0
2020-04-06,26,0,0,Manitoba,72.69,-39.42,-36.36,-74.86,-43.0,-17.0,-16.0,-61.0,-48.0,20.0,246,4.0,242.0,4,17119.0,17.96,12501.0
2020-04-07,27,1,0,Manitoba,72.69,-37.35,-35.480000000000004,-73.87,-44.0,-9.0,-11.0,-59.0,-49.0,21.0,246,4.0,242.0,0,17789.0,17.96,12990.0
2020-04-08,28,2,0,Manitoba,72.69,-34.86,-32.93000000000001,-76.58,-43.0,-12.0,-36.0,-62.0,-49.0,21.0,246,5.0,241.0,0,17789.0,17.96,12990.0
2020-04-09,29,3,0,Manitoba,72.69,-20.25,-28.0,-70.61,-27.0,21.0,-26.0,-59.0,-49.0,19.0,250,5.0,245.0,4,18318.0,18.26,13376.0
2020-04-10,30,4,1,Manitoba,72.69,-39.31,-35.849999999999994,-76.41,-75.0,-63.0,-7.0,-73.0,-82.0,33.0,250,5.0,245.0,0,18814.0,18.26,13738.0
2020-04-11,31,5,0,Manitoba,72.69,-36.04,-37.76,-73.53,-42.0,0.0,-42.0,-55.0,-38.0,15.0,253,5.0,116.0,3,19412.0,18.47,14175.0
