date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,walking,transit,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,numtested,ratetotal,ratetested
2020-03-01,-10,6,0,Quebec,2.78,-3.049999999999997,2.9000000000000057,-11.159999999999997,14.0,11.0,26.0,11.0,5.0,-2.0,7,0.0,7.0,3,556.0,0.08,66.0
2020-03-03,-8,1,0,Quebec,2.78,13.799999999999997,24.64,8.959999999999994,11.0,4.0,19.0,-8.0,-13.0,2.0,13,0.0,13.0,6,740.0,0.15,87.0
2020-03-05,-6,3,0,Quebec,2.78,22.769999999999996,40.06,15.069999999999993,11.0,4.0,25.0,-7.0,-14.0,2.0,17,0.0,17.0,4,740.0,0.2,87.0
2020-03-06,-5,4,0,Quebec,2.78,23.019999999999996,39.18000000000001,11.870000000000005,1.0,-7.0,-7.0,-8.0,-15.0,4.0,17,0.0,17.0,0,1584.0,0.2,187.0
2020-03-07,-4,5,0,Quebec,2.78,13.030000000000001,39.71000000000001,-0.030000000000001137,6.0,1.0,25.0,6.0,2.0,0.0,24,0.0,24.0,7,2337.0,0.28,275.0
2020-03-08,-3,6,0,Quebec,2.78,-8.090000000000003,2.3499999999999943,-14.730000000000004,10.0,8.0,22.0,2.0,4.0,-1.0,39,0.0,39.0,15,3129.0,0.46,369.0
2020-03-09,-2,0,0,Quebec,2.78,-1.2399999999999949,8.349999999999994,0.9399999999999977,2.0,-1.0,13.0,-5.0,-1.0,1.0,50,0.0,50.0,11,4870.0,0.59,574.0
2020-03-11,0,2,0,Quebec,13.89,6.390000000000001,14.829999999999998,-1.1800000000000068,3.0,3.0,-3.0,-3.0,1.0,1.0,74,1.0,73.0,24,5880.0,0.87,693.0
2020-03-12,1,3,0,Quebec,22.22,3.569999999999993,11.730000000000004,-10.069999999999993,8.0,28.0,1.0,-6.0,1.0,0.0,121,1.0,120.0,47,6757.0,1.43,796.0
2020-03-13,2,4,0,Quebec,22.22,-6.209999999999994,2.1400000000000006,-22.89,-13.0,30.0,-38.0,-23.0,-15.0,8.0,139,1.0,138.0,18,8539.0,1.64,1006.0
2020-03-14,3,5,0,Quebec,24.07,-17.310000000000002,1.019999999999996,-33.72,-16.0,10.0,-13.0,-21.0,-4.0,6.0,221,4.0,217.0,82,8539.0,2.6,1006.0
2020-03-15,4,6,0,Quebec,24.07,-35.900000000000006,-29.010000000000005,-47.18,-17.0,7.0,4.0,-28.0,-6.0,5.0,221,4.0,217.0,0,8539.0,2.6,1006.0
2020-03-16,5,0,0,Quebec,43.52,-29.730000000000004,-27.760000000000005,-49.06,-21.0,5.0,3.0,-43.0,-30.0,11.0,628,4.0,624.0,407,8539.0,7.4,1006.0
2020-03-17,6,1,0,Quebec,43.52,-40.09,-42.83,-60.46,-36.0,-3.0,-30.0,-52.0,-37.0,16.0,1013,4.0,1009.0,385,15071.0,11.94,1776.0
2020-03-18,7,2,0,Quebec,61.11,-40.51,-38.38,-62.64,-36.0,4.0,0.0,-52.0,-41.0,17.0,1339,6.0,1333.0,326,27828.0,15.78,3280.0
2020-03-19,8,3,0,Quebec,61.11,-42.3,-42.64,-66.91,-40.0,3.0,-1.0,-55.0,-44.0,18.0,1629,8.0,1619.0,290,33311.0,19.2,3926.0
2020-03-20,9,4,0,Quebec,71.3,-43.18,-48.64,-68.76,-51.0,-11.0,-45.0,-59.0,-46.0,22.0,2021,18.0,1974.0,392,34356.0,23.82,4049.0
2020-03-21,10,5,0,Quebec,71.3,-55.09,-52.26,-71.9,-54.0,-15.0,-14.0,-52.0,-32.0,15.0,2498,22.0,2447.0,477,46087.0,29.44,5432.0
2020-03-22,11,6,0,Quebec,71.3,-63.12,-58.09,-75.08,-53.0,-20.0,-8.0,-56.0,-32.0,11.0,2840,22.0,2789.0,342,52204.0,33.47,6153.0
2020-03-23,12,0,0,Quebec,72.69,-52.47,-55.71,-74.65,-44.0,-13.0,-41.0,-66.0,-49.0,19.0,3430,25.0,3376.0,590,59715.0,40.42,7038.0
2020-03-24,13,1,0,Quebec,72.69,-55.09,-51.51,-77.22,-51.0,-18.0,-17.0,-67.0,-55.0,22.0,4162,31.0,4102.0,732,67540.0,49.05,7960.0
2020-03-25,14,2,0,Quebec,72.69,-61.25,-52.99,-78.55,-60.0,-25.0,-19.0,-71.0,-64.0,26.0,4611,33.0,4549.0,449,69711.0,54.34,8216.0
2020-03-26,15,3,0,Quebec,72.69,-61.18,-56.01,-79.64,-61.0,-22.0,-32.0,-73.0,-65.0,28.0,5518,36.0,5258.0,907,74542.0,65.03,8785.0
2020-03-27,16,4,0,Quebec,72.69,-56.56,-46.17,-79.22,-63.0,-26.0,-14.0,-70.0,-64.0,28.0,6101,61.0,6040.0,583,83570.0,71.9,9849.0
2020-03-28,17,5,0,Quebec,72.69,-64.22,-54.8,-80.73,-65.0,-31.0,-19.0,-64.0,-47.0,18.0,6997,75.0,6922.0,896,90227.0,82.46,10634.0
2020-03-29,18,6,0,Quebec,72.69,-72.91,-72.97,-83.5,-70.0,-44.0,-68.0,-75.0,-45.0,15.0,7944,94.0,7850.0,947,95955.0,93.62,11309.0
2020-03-30,19,0,0,Quebec,72.69,-64.58,-64.34,-80.3,-60.0,-34.0,-51.0,-76.0,-66.0,26.0,8580,121.0,7848.0,636,100113.0,101.12,11799.0
2020-03-31,20,1,0,Quebec,72.69,-60.71,-50.93,-78.86,-55.0,-23.0,0.0,-72.0,-66.0,26.0,9340,150.0,9190.0,760,104526.0,110.08,12319.0
2020-04-01,21,2,0,Quebec,74.54,-61.33,-56.02,-79.97,-57.0,-25.0,-32.0,-73.0,-67.0,27.0,10031,175.0,9856.0,691,109270.0,118.22,12878.0
2020-04-02,22,3,0,Quebec,74.54,-63.29,-60.16,-80.84,-61.0,-28.0,-51.0,-76.0,-67.0,29.0,10912,216.0,10696.0,881,113365.0,128.6,13361.0
2020-04-03,23,4,0,Quebec,74.54,-59.71,-54.22,-80.15,-64.0,-29.0,-51.0,-75.0,-66.0,30.0,11677,241.0,11436.0,765,118217.0,137.62,13933.0
2020-04-04,24,5,0,Quebec,72.69,-65.25999999999999,-48.42,-81.95,-62.0,-28.0,-3.0,-63.0,-48.0,18.0,12292,289.0,12003.0,615,123115.0,144.87,14510.0
2020-04-05,25,6,0,Quebec,72.69,-73.61,-65.56,-83.47,-84.0,-78.0,-42.0,-75.0,-52.0,16.0,12846,328.0,12518.0,554,126771.0,151.4,14941.0
