date,days_post_first_lockdown,day_of_week,holiday,region,stringency_index,driving,walking,transit,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,numtotal,numdeaths,numactive,numtoday,numtested,ratetotal,ratetested
2020-03-11,0,2,0,Saskatchewan,13.89,14.129999999999995,18.620000000000005,-12.629999999999995,8.0,11.0,17.0,0.0,3.0,0.0,8,0.0,8.0,1,1910.0,0.68,1626.0
2020-03-12,1,3,0,Saskatchewan,22.22,12.14,15.469999999999999,-11.469999999999999,10.0,30.0,1.0,-3.0,2.0,0.0,20,0.0,20.0,12,1910.0,1.7,1626.0
2020-03-13,2,4,0,Saskatchewan,22.22,19.519999999999996,19.120000000000005,-17.450000000000003,1.0,32.0,-18.0,-7.0,-1.0,1.0,26,0.0,26.0,6,1910.0,2.21,1626.0
2020-03-14,3,5,0,Saskatchewan,24.07,-2.219999999999999,-0.12000000000000455,-32.849999999999994,-7.0,24.0,-33.0,-13.0,-1.0,4.0,44,0.0,44.0,18,3807.0,3.75,3241.0
2020-03-15,4,6,0,Saskatchewan,24.07,-24.480000000000004,-33.75,-50.91,-14.0,8.0,-8.0,-17.0,-4.0,4.0,52,0.0,52.0,8,4407.0,4.43,3752.0
2020-03-16,5,0,0,Saskatchewan,43.52,-16.150000000000006,-14.260000000000005,-34.91,-5.0,34.0,-10.0,-23.0,-8.0,5.0,66,0.0,66.0,14,5130.0,5.62,4368.0
2020-03-17,6,1,0,Saskatchewan,43.52,-15.280000000000001,-14.260000000000005,-46.88,-17.0,20.0,4.0,-24.0,-18.0,8.0,72,0.0,72.0,6,5604.0,6.13,4772.0
2020-03-18,7,2,0,Saskatchewan,61.11,-16.760000000000005,-14.700000000000003,-47.54,-24.0,20.0,1.0,-31.0,-23.0,11.0,86,0.0,86.0,14,6111.0,7.32,5203.0
2020-03-19,8,3,0,Saskatchewan,61.11,-19.97,-20.75,-54.12,-29.0,13.0,7.0,-37.0,-29.0,13.0,95,0.0,92.0,9,6729.0,8.09,5729.0
2020-03-20,9,4,0,Saskatchewan,71.3,-15.75,-19.790000000000006,-57.14,-37.0,7.0,-8.0,-39.0,-36.0,15.0,104,0.0,101.0,9,7360.0,8.86,6267.0
2020-03-21,10,5,0,Saskatchewan,71.3,-33.900000000000006,-31.290000000000006,-65.78999999999999,-51.0,-9.0,0.0,-37.0,-27.0,12.0,134,0.0,131.0,30,8009.0,11.41,6819.0
2020-03-22,11,6,0,Saskatchewan,71.3,-47.92,-42.6,-71.08,-53.0,-22.0,39.0,-46.0,-31.0,10.0,134,0.0,130.0,0,8822.0,11.41,7512.0
2020-03-23,12,0,0,Saskatchewan,72.69,-34.650000000000006,-25.909999999999997,-63.53,-47.0,-13.0,25.0,-50.0,-44.0,16.0,175,2.0,159.0,41,9372.0,14.9,7980.0
2020-03-24,13,1,0,Saskatchewan,72.69,-38.87,-39.28,-67.61,-54.0,-22.0,-15.0,-50.0,-47.0,20.0,184,2.0,161.0,9,9372.0,15.67,7980.0
2020-03-25,14,2,0,Saskatchewan,72.69,-36.03,-38.38,-71.08,-52.0,-17.0,-9.0,-53.0,-48.0,19.0,193,3.0,160.0,9,10202.0,16.43,8687.0
2020-03-26,15,3,0,Saskatchewan,72.69,-33.17,-31.370000000000005,-71.03,-50.0,-13.0,13.0,-54.0,-49.0,20.0,206,3.0,167.0,13,11034.0,17.54,9395.0
2020-03-27,16,4,0,Saskatchewan,72.69,-29.180000000000007,-18.939999999999998,-70.17,-50.0,-13.0,6.0,-51.0,-49.0,20.0,220,3.0,217.0,14,11720.0,18.73,9979.0
2020-03-28,17,5,0,Saskatchewan,72.69,-39.32,-31.14,-66.15,-54.0,-18.0,11.0,-49.0,-36.0,14.0,231,3.0,228.0,11,12244.0,19.67,10425.0
2020-03-29,18,6,0,Saskatchewan,72.69,-49.02,-43.66,-69.82,-53.0,-24.0,45.0,-52.0,-37.0,11.0,249,3.0,191.0,18,13055.0,21.2,11116.0
2020-03-30,19,0,0,Saskatchewan,72.69,-35.06,-27.92,-64.49000000000001,-45.0,-16.0,10.0,-55.0,-49.0,17.0,253,3.0,169.0,4,13680.0,21.54,11648.0
2020-03-31,20,1,0,Saskatchewan,72.69,-37.99,-34.81,-73.28999999999999,-49.0,-20.0,-23.0,-55.0,-50.0,20.0,260,3.0,257.0,7,14203.0,22.14,12093.0
2020-04-01,21,2,0,Saskatchewan,74.54,-38.22,-33.849999999999994,-72.03,-51.0,-21.0,-30.0,-57.0,-50.0,20.0,271,3.0,268.0,11,15059.0,23.07,12822.0
2020-04-02,22,3,0,Saskatchewan,74.54,-35.879999999999995,-32.900000000000006,-72.33,-50.0,-16.0,-23.0,-58.0,-50.0,21.0,278,3.0,275.0,7,16059.0,23.67,13673.0
2020-04-03,23,4,0,Saskatchewan,74.54,-26.58,-18.700000000000003,-65.39,-47.0,-11.0,-24.0,-56.0,-49.0,21.0,285,3.0,282.0,7,16952.0,24.27,14434.0
2020-04-04,24,5,0,Saskatchewan,72.69,-43.96,-45.52,-73.53999999999999,-57.0,-24.0,-45.0,-59.0,-39.0,16.0,289,4.0,285.0,4,17716.0,24.61,15084.0
2020-04-05,25,6,0,Saskatchewan,72.69,-51.8,-55.54,-80.13,-55.0,-29.0,-14.0,-59.0,-39.0,12.0,298,4.0,294.0,9,18499.0,25.37,15751.0
2020-04-06,26,0,0,Saskatchewan,72.69,-40.02,-36.42,-71.43,-50.0,-21.0,-15.0,-60.0,-50.0,19.0,300,4.0,296.0,2,18995.0,25.54,16173.0
2020-04-07,27,1,0,Saskatchewan,72.69,-33.370000000000005,-30.72,-71.13,-45.0,-12.0,10.0,-53.0,-50.0,19.0,301,4.0,297.0,1,19442.0,25.63,16554.0
2020-04-08,28,2,0,Saskatchewan,72.69,-30.819999999999993,-31.069999999999993,-73.64,-47.0,-11.0,-24.0,-57.0,-50.0,20.0,304,4.0,300.0,3,20013.0,25.88,17040.0
2020-04-09,29,3,0,Saskatchewan,72.69,-20.549999999999997,-11.480000000000004,-66.7,-30.0,19.0,14.0,-53.0,-51.0,18.0,305,4.0,301.0,1,20631.0,25.97,17566.0
2020-04-10,30,4,1,Saskatchewan,72.69,-38.66,-30.67,-71.63,-57.0,-28.0,-3.0,-65.0,-77.0,28.0,307,4.0,303.0,2,21212.0,26.14,18061.0
2020-04-11,31,5,0,Saskatchewan,72.69,-38.17,-38.9,-73.64,-50.0,-11.0,-33.0,-58.0,-40.0,15.0,313,4.0,75.0,6,21997.0,26.65,18729.0
2020-04-12,32,6,0,Saskatchewan,72.69,-56.12,-56.38,-80.03,-62.0,-43.0,-13.0,-63.0,-42.0,13.0,315,4.0,77.0,2,22759.0,26.82,19378.0
2020-04-13,33,0,0,Saskatchewan,72.69,-35.739999999999995,-37.96,-63.53,-50.0,-24.0,-12.0,-61.0,-57.0,20.0,316,4.0,74.0,1,22759.0,26.91,19378.0
2020-04-14,34,1,0,Saskatchewan,72.69,-27.36,-22.939999999999998,-69.47,-44.0,-12.0,23.0,-53.0,-49.0,19.0,320,4.0,64.0,4,23554.0,27.25,20055.0
2020-04-15,35,2,0,Saskatchewan,72.69,-18.83,-19.739999999999995,-71.38,-39.0,-6.0,11.0,-55.0,-49.0,19.0,326,4.0,61.0,6,24008.0,27.76,20442.0
2020-04-16,36,3,0,Saskatchewan,72.69,-18.92,-17.83,-70.93,-39.0,-7.0,17.0,-53.0,-49.0,19.0,331,4.0,57.0,5,24504.0,28.18,20864.0
2020-04-17,37,4,0,Saskatchewan,72.69,-10.510000000000005,-4.760000000000005,-66.3,-43.0,-12.0,4.0,-53.0,-48.0,20.0,341,4.0,57.0,10,25141.0,29.03,21406.0
2020-04-18,38,5,0,Saskatchewan,72.69,-27.209999999999994,-20.799999999999997,-71.28,-46.0,-14.0,-19.0,-52.0,-33.0,14.0,349,4.0,57.0,8,25697.0,29.72,21880.0
2020-04-19,39,6,0,Saskatchewan,72.69,-38.42,-32.31,-71.83,-43.0,-21.0,43.0,-54.0,-34.0,10.0,353,4.0,61.0,4,25697.0,30.06,21880.0
2020-04-20,40,0,0,Saskatchewan,72.69,-18.78,-9.370000000000005,-72.18,-35.0,-12.0,40.0,-54.0,-47.0,16.0,365,5.0,72.0,12,26642.0,31.08,22684.0
2020-04-21,41,1,0,Saskatchewan,72.69,-14.290000000000006,7.560000000000002,-60.36,-35.0,-8.0,87.0,-48.0,-47.0,16.0,366,5.0,70.0,1,26915.0,31.16,22917.0
2020-04-22,42,2,0,Saskatchewan,72.69,-13.560000000000002,3.7900000000000063,-69.67,-37.0,-9.0,37.0,-53.0,-46.0,17.0,383,6.0,86.0,17,27328.0,32.61,23269.0
2020-04-23,43,3,0,Saskatchewan,72.69,-11.349999999999994,4.439999999999998,-63.43,-34.0,-5.0,57.0,-53.0,-46.0,17.0,389,6.0,88.0,6,27786.0,33.12,23658.0
2020-04-24,44,4,0,Saskatchewan,72.69,-4.569999999999993,12.89,-64.53999999999999,-41.0,-12.0,4.0,-53.0,-46.0,18.0,415,6.0,112.0,26,28417.0,35.34,24196.0
2020-04-25,45,5,0,Saskatchewan,72.69,-15.39,-0.01999999999999602,-67.0,-39.0,-9.0,46.0,-44.0,-29.0,10.0,421,6.0,113.0,6,28847.0,35.85,24562.0
2020-04-26,46,6,0,Saskatchewan,72.69,-33.53,-34.120000000000005,-69.01,-41.0,-19.0,6.0,-54.0,-32.0,10.0,433,6.0,122.0,12,29498.0,36.87,25116.0
2020-04-27,47,0,0,Saskatchewan,72.69,-8.909999999999997,6.349999999999994,-64.69,-31.0,-6.0,62.0,-50.0,-45.0,15.0,467,6.0,154.0,34,30171.0,39.76,25689.0
2020-04-28,48,1,0,Saskatchewan,72.69,-7.900000000000006,11.530000000000001,-61.62,-31.0,-3.0,58.0,-48.0,-45.0,9.0,487,6.0,171.0,20,30664.0,41.47,26109.0
2020-04-29,49,2,0,Saskatchewan,72.69,-1.2099999999999937,18.549999999999997,-62.12,-29.0,1.0,81.0,-46.0,-44.0,15.0,512,6.0,194.0,25,31247.0,43.59,26605.0
2020-04-30,50,3,0,Saskatchewan,72.69,3.9399999999999977,22.17,-60.16,-27.0,3.0,89.0,-47.0,-45.0,15.0,531,6.0,196.0,19,31926.0,45.21,27184.0
2020-05-01,51,4,0,Saskatchewan,72.69,9.5,19.459999999999994,-61.02,-35.0,-7.0,13.0,-50.0,-44.0,17.0,544,6.0,203.0,13,32620.0,46.32,27774.0
2020-05-02,52,5,0,Saskatchewan,72.69,-8.629999999999995,-1.0699999999999932,-65.19,-36.0,-7.0,44.0,-43.0,-27.0,9.0,553,6.0,207.0,9,33453.0,47.09,28484.0
2020-05-03,53,6,0,Saskatchewan,72.69,-24.25,-23.060000000000002,-68.86,-33.0,-10.0,65.0,-49.0,-26.0,7.0,564,6.0,209.0,11,34093.0,48.02,29029.0
2020-05-04,54,0,0,Saskatchewan,72.69,-2.2099999999999937,8.930000000000007,-62.27,-27.0,-4.0,58.0,-48.0,-43.0,14.0,568,6.0,199.0,4,34585.0,48.36,29448.0
2020-05-05,55,1,0,Saskatchewan,72.69,4.650000000000006,30.44999999999999,-55.78,-28.0,-2.0,91.0,-46.0,-43.0,14.0,573,6.0,193.0,5,34801.0,48.79,29631.0
2020-05-06,56,2,0,Saskatchewan,72.69,9.209999999999994,29.629999999999995,-55.58,-28.0,1.0,104.0,-46.0,-42.0,14.0,577,6.0,186.0,4,35189.0,49.13,29962.0
2020-05-07,57,3,0,Saskatchewan,72.69,10.469999999999999,34.75999999999999,-63.53,-26.0,4.0,102.0,-45.0,-43.0,14.0,582,6.0,178.0,5,35664.0,49.55,30366.0
2020-05-08,58,4,0,Saskatchewan,72.69,14.379999999999995,21.370000000000005,-65.64,-35.0,-5.0,9.0,-50.0,-43.0,16.0,590,6.0,176.0,8,36086.0,50.24,30726.0
