date,region,numtotal,numdeaths,numactive,numtoday,numtested,ratetotal,ratetested
2020-03-11,British Columbia,39,1.0,38.0,0,4373.0,0.77,862.0
2020-03-11,Alberta,14,0.0,14.0,0,1969.0,0.32,450.0
2020-03-11,Ontario,42,1.0,41.0,8,3394.0,0.29,233.0
2020-03-11,Quebec,7,0.0,7.0,3,556.0,0.08,66.0
2020-03-11,Canada,103,2.0,101.0,26,11023.0,0.27,293.0
2020-03-12,British Columbia,46,1.0,45.0,7,5195.0,0.91,1024.0
2020-03-12,Alberta,19,0.0,19.0,5,4109.0,0.43,940.0
2020-03-12,Saskatchewan,1,0.0,1.0,1,285.0,0.09,243.0
2020-03-12,Manitoba,1,0.0,1.0,1,352.0,0.07,257.0
2020-03-12,Ontario,59,1.0,58.0,17,4185.0,0.41,287.0
2020-03-12,Quebec,13,0.0,13.0,6,740.0,0.15,87.0
2020-03-12,New Brunswick,1,0.0,1.0,1,44.0,0.13,57.0
2020-03-12,Canada,141,2.0,139.0,38,15185.0,0.38,404.0
2020-03-13,British Columbia,53,1.0,52.0,7,5195.0,1.05,1024.0
2020-03-13,Alberta,23,0.0,23.0,4,4109.0,0.53,940.0
2020-03-13,Saskatchewan,1,0.0,1.0,0,285.0,0.09,243.0
2020-03-13,Manitoba,3,0.0,3.0,2,352.0,0.22,257.0
2020-03-13,Ontario,79,1.0,78.0,20,4185.0,0.54,287.0
2020-03-13,Quebec,17,0.0,17.0,4,740.0,0.2,87.0
2020-03-13,New Brunswick,1,0.0,1.0,0,44.0,0.13,57.0
2020-03-13,Canada,179,2.0,177.0,38,15185.0,0.48,404.0
2020-03-14,British Columbia,64,1.0,63.0,11,7033.0,1.26,1387.0
2020-03-14,Alberta,29,0.0,29.0,6,5247.0,0.66,1200.0
2020-03-14,Saskatchewan,2,0.0,2.0,1,349.0,0.17,297.0
2020-03-14,Manitoba,4,0.0,4.0,1,837.0,0.29,611.0
2020-03-14,Ontario,79,1.0,78.0,0,6646.0,0.54,456.0
2020-03-14,Quebec,17,0.0,17.0,0,1584.0,0.2,187.0
2020-03-14,New Brunswick,2,0.0,2.0,1,82.0,0.26,106.0
2020-03-14,Canada,199,2.0,197.0,20,22409.0,0.53,596.0
2020-03-15,British Columbia,73,1.0,72.0,9,7033.0,1.44,1387.0
2020-03-15,Alberta,39,0.0,39.0,10,5247.0,0.89,1200.0
2020-03-15,Saskatchewan,2,0.0,2.0,0,349.0,0.17,297.0
2020-03-15,Manitoba,4,0.0,4.0,0,837.0,0.29,611.0
2020-03-15,Ontario,103,1.0,102.0,24,8461.0,0.71,581.0
2020-03-15,Quebec,24,0.0,24.0,7,2337.0,0.28,275.0
2020-03-15,Newfoundland and Labrador,1,0.0,1.0,1,62.0,0.19,119.0
2020-03-15,New Brunswick,2,0.0,2.0,0,82.0,0.26,106.0
2020-03-15,Prince Edward Island,1,0.0,1.0,1,6.0,0.64,38.0
2020-03-15,Canada,253,2.0,251.0,54,24977.0,0.67,664.0
2020-03-16,British Columbia,73,4.0,69.0,0,9926.0,1.44,1957.0
2020-03-16,Alberta,56,0.0,56.0,17,10238.0,1.28,2342.0
2020-03-16,Saskatchewan,6,0.0,6.0,4,881.0,0.51,750.0
2020-03-16,Manitoba,7,0.0,7.0,3,1848.0,0.51,1349.0
2020-03-16,Ontario,145,1.0,144.0,42,10178.0,1.0,699.0
2020-03-16,Quebec,39,0.0,39.0,15,3129.0,0.46,369.0
2020-03-16,Newfoundland and Labrador,1,0.0,1.0,0,161.0,0.19,309.0
2020-03-16,New Brunswick,6,0.0,6.0,4,143.0,0.77,184.0
2020-03-16,Nova Scotia,3,0.0,3.0,3,1075.0,0.31,1107.0
2020-03-16,Prince Edward Island,1,0.0,1.0,0,6.0,0.64,38.0
2020-03-16,Canada,341,5.0,336.0,88,37730.0,0.91,1004.0
2020-03-17,British Columbia,103,7.0,96.0,30,11612.0,2.03,2290.0
2020-03-17,Alberta,74,0.0,74.0,18,11487.0,1.69,2628.0
2020-03-17,Saskatchewan,7,0.0,7.0,1,1066.0,0.6,908.0
2020-03-17,Manitoba,7,0.0,7.0,0,2216.0,0.51,1618.0
2020-03-17,Ontario,177,1.0,176.0,32,11167.0,1.22,767.0
2020-03-17,Quebec,50,0.0,50.0,11,4870.0,0.59,574.0
2020-03-17,Newfoundland and Labrador,1,0.0,1.0,0,161.0,0.19,309.0
2020-03-17,New Brunswick,7,0.0,7.0,1,295.0,0.9,380.0
2020-03-17,Nova Scotia,5,0.0,5.0,2,1075.0,0.51,1107.0
2020-03-17,Prince Edward Island,1,0.0,1.0,0,75.0,0.64,478.0
2020-03-17,Canada,440,8.0,432.0,99,44176.0,1.17,1175.0
2020-03-18,British Columbia,186,7.0,179.0,83,13388.0,3.67,2640.0
2020-03-18,Alberta,97,0.0,97.0,23,13686.0,2.22,3131.0
2020-03-18,Saskatchewan,8,0.0,8.0,1,1910.0,0.68,1626.0
2020-03-18,Manitoba,15,0.0,15.0,8,2739.0,1.1,2000.0
2020-03-18,Ontario,189,1.0,188.0,12,13869.0,1.3,952.0
2020-03-18,Quebec,74,1.0,73.0,24,5880.0,0.87,693.0
2020-03-18,Newfoundland and Labrador,3,0.0,3.0,2,161.0,0.58,309.0
2020-03-18,New Brunswick,8,0.0,8.0,1,408.0,1.03,525.0
2020-03-18,Nova Scotia,7,0.0,7.0,2,1278.0,0.72,1316.0
2020-03-18,Prince Edward Island,1,0.0,1.0,0,75.0,0.64,478.0
2020-03-18,Canada,597,9.0,588.0,157,53546.0,1.59,1425.0
2020-03-19,British Columbia,271,8.0,263.0,85,16382.0,5.34,3230.0
2020-03-19,Alberta,146,1.0,145.0,49,16507.0,3.34,3776.0
2020-03-19,Saskatchewan,20,0.0,20.0,12,1910.0,1.7,1626.0
2020-03-19,Manitoba,17,0.0,17.0,2,3189.0,1.24,2329.0
2020-03-19,Ontario,258,2.0,256.0,69,18488.0,1.77,1269.0
2020-03-19,Quebec,121,1.0,120.0,47,6757.0,1.43,796.0
2020-03-19,Newfoundland and Labrador,3,0.0,3.0,0,267.0,0.58,512.0
2020-03-19,New Brunswick,11,0.0,11.0,3,527.0,1.42,678.0
2020-03-19,Nova Scotia,14,0.0,14.0,7,1520.0,1.44,1565.0
2020-03-19,Prince Edward Island,2,0.0,2.0,1,75.0,1.27,478.0
2020-03-19,Canada,873,12.0,861.0,276,65851.0,2.32,1752.0
2020-03-20,British Columbia,271,9.0,262.0,0,18792.0,5.34,3706.0
2020-03-20,Alberta,195,1.0,194.0,49,19782.0,4.46,4525.0
2020-03-20,Saskatchewan,26,0.0,26.0,6,1910.0,2.21,1626.0
2020-03-20,Manitoba,17,0.0,17.0,0,3367.0,1.24,2459.0
2020-03-20,Ontario,311,2.0,309.0,53,21499.0,2.14,1476.0
2020-03-20,Quebec,139,1.0,138.0,18,8539.0,1.64,1006.0
2020-03-20,Newfoundland and Labrador,4,0.0,4.0,1,287.0,0.77,550.0
2020-03-20,New Brunswick,11,0.0,11.0,0,640.0,1.42,824.0
2020-03-20,Nova Scotia,15,0.0,15.0,1,1647.0,1.54,1695.0
2020-03-20,Prince Edward Island,2,0.0,2.0,0,75.0,1.27,478.0
2020-03-20,Canada,1004,13.0,991.0,131,76814.0,2.67,2044.0
2020-03-21,British Columbia,424,10.0,414.0,153,20417.0,8.36,4026.0
2020-03-21,Alberta,226,1.0,225.0,31,23060.0,5.17,5275.0
2020-03-21,Saskatchewan,44,0.0,44.0,18,3807.0,3.75,3241.0
2020-03-21,Manitoba,19,0.0,19.0,2,3668.0,1.39,2678.0
2020-03-21,Ontario,377,3.0,374.0,66,25470.0,2.59,1749.0
2020-03-21,Quebec,221,4.0,217.0,82,8539.0,2.6,1006.0
2020-03-21,Newfoundland and Labrador,6,0.0,6.0,2,299.0,1.15,573.0
2020-03-21,New Brunswick,17,0.0,17.0,6,865.0,2.19,1114.0
2020-03-21,Nova Scotia,21,0.0,21.0,6,1956.0,2.16,2014.0
2020-03-21,Prince Edward Island,2,0.0,2.0,0,75.0,1.27,478.0
2020-03-21,Northwest Territories,1,0.0,1.0,1,301.0,2.23,6715.0
2020-03-21,Canada,1371,18.0,1353.0,367,88883.0,3.65,2365.0
2020-03-22,British Columbia,424,10.0,414.0,0,22135.0,8.36,4365.0
2020-03-22,Alberta,259,1.0,258.0,33,26999.0,5.92,6176.0
2020-03-22,Saskatchewan,52,0.0,52.0,8,4407.0,4.43,3752.0
2020-03-22,Manitoba,19,0.0,19.0,0,3936.0,1.39,2874.0
2020-03-22,Ontario,425,5.0,420.0,48,28570.0,2.92,1961.0
2020-03-22,Quebec,221,4.0,217.0,0,8539.0,2.6,1006.0
2020-03-22,Newfoundland and Labrador,9,0.0,9.0,3,299.0,1.73,573.0
2020-03-22,New Brunswick,17,0.0,17.0,0,924.0,2.19,1189.0
2020-03-22,Nova Scotia,28,0.0,28.0,7,2210.0,2.88,2275.0
2020-03-22,Prince Edward Island,3,0.0,3.0,1,75.0,1.91,478.0
2020-03-22,Northwest Territories,1,0.0,1.0,0,301.0,2.23,6715.0
2020-03-22,Canada,1471,20.0,1451.0,100,98824.0,3.91,2629.0
2020-03-23,British Columbia,472,13.0,459.0,48,23460.0,9.31,4626.0
2020-03-23,Alberta,301,1.0,300.0,42,29757.0,6.89,6807.0
2020-03-23,Saskatchewan,66,0.0,66.0,14,5130.0,5.62,4368.0
2020-03-23,Manitoba,20,0.0,20.0,1,4133.0,1.46,3018.0
2020-03-23,Ontario,503,6.0,497.0,78,30688.0,3.45,2107.0
2020-03-23,Quebec,628,4.0,624.0,407,8539.0,7.4,1006.0
2020-03-23,Newfoundland and Labrador,24,0.0,24.0,15,894.0,4.6,1714.0
2020-03-23,New Brunswick,17,0.0,17.0,0,1139.0,2.19,1466.0
2020-03-23,Nova Scotia,41,0.0,41.0,13,2408.0,4.22,2479.0
2020-03-23,Prince Edward Island,3,0.0,3.0,0,206.0,1.91,1313.0
2020-03-23,Yukon,2,0.0,2.0,0,416.0,4.9,10183.0
2020-03-23,Northwest Territories,1,0.0,1.0,0,364.0,2.23,8120.0
2020-03-23,Canada,2091,24.0,2067.0,620,107147.0,5.56,2850.0
2020-03-24,British Columbia,617,13.0,604.0,145,26305.0,12.17,5187.0
2020-03-24,Alberta,358,2.0,356.0,57,32776.0,8.19,7498.0
2020-03-24,Saskatchewan,72,0.0,72.0,6,5604.0,6.13,4772.0
2020-03-24,Manitoba,21,0.0,21.0,1,4406.0,1.53,3217.0
2020-03-24,Ontario,588,8.0,580.0,85,34727.0,4.04,2384.0
2020-03-24,Quebec,1013,4.0,1009.0,385,15071.0,11.94,1776.0
2020-03-24,Newfoundland and Labrador,35,0.0,35.0,11,1087.0,6.71,2084.0
2020-03-24,New Brunswick,18,0.0,18.0,1,1261.0,2.32,1623.0
2020-03-24,Nova Scotia,51,0.0,51.0,10,2641.0,5.25,2719.0
2020-03-24,Prince Edward Island,3,0.0,3.0,0,206.0,1.91,1313.0
2020-03-24,Yukon,2,0.0,2.0,0,416.0,4.9,10183.0
2020-03-24,Northwest Territories,1,0.0,1.0,0,481.0,2.23,10730.0
2020-03-24,Canada,2792,27.0,2765.0,701,125062.0,7.43,3327.0
2020-03-25,British Columbia,659,14.0,645.0,42,28344.0,12.99,5589.0
2020-03-25,Alberta,419,2.0,417.0,61,35508.0,9.59,8123.0
2020-03-25,Saskatchewan,86,0.0,86.0,14,6111.0,7.32,5203.0
2020-03-25,Manitoba,35,0.0,35.0,14,4740.0,2.56,3461.0
2020-03-25,Ontario,688,13.0,675.0,100,38040.0,4.72,2611.0
2020-03-25,Quebec,1339,6.0,1333.0,326,27828.0,15.78,3280.0
2020-03-25,Newfoundland and Labrador,67,0.0,67.0,32,1235.0,12.85,2368.0
2020-03-25,New Brunswick,26,0.0,26.0,8,1680.0,3.35,2163.0
2020-03-25,Nova Scotia,68,0.0,68.0,17,3008.0,7.0,3097.0
2020-03-25,Prince Edward Island,5,0.0,5.0,2,301.0,3.19,1918.0
2020-03-25,Yukon,3,0.0,3.0,0,416.0,7.34,10183.0
2020-03-25,Northwest Territories,1,0.0,1.0,0,481.0,2.23,10730.0
2020-03-25,Canada,3409,35.0,3374.0,617,147789.0,9.07,3932.0
2020-03-26,British Columbia,725,14.0,525.0,66,30238.0,14.3,5963.0
2020-03-26,Alberta,486,2.0,457.0,67,36600.0,11.12,8373.0
2020-03-26,Saskatchewan,95,0.0,92.0,9,6729.0,8.09,5729.0
